,keypoints
11,"[[111.21889985 153.00566499]
 [120.24607675 143.09839398]
 [106.57931498 144.39077507]
 [132.61452006 148.68768871]
 [102.09413149 148.09441482]
 [152.88072546 184.0032304 ]
 [103.95853592 172.84077145]
 [193.78015001 228.33662504]
 [ 54.6854551  154.79684831]
 [159.18793565 273.93853389]
 [ 83.08862476 108.77050079]
 [137.11250976 285.54697832]
 [ 91.64888236 285.532082  ]
 [140.02690795 375.42307632]
 [ 94.42181264 365.24310279]
 [145.82158945 452.64564083]
 [106.15989855 442.57444445]]"
12,"[[115.96595619 158.69877144]
 [120.00017215 143.15739597]
 [106.39754578 144.45783732]
 [132.53117392 148.68213176]
 [102.30404442 148.14799846]
 [152.43870295 184.31215195]
 [100.32682047 178.53414106]
 [193.69485596 228.47153319]
 [ 54.85892708 155.24876365]
 [158.96260989 274.02273912]
 [ 83.36799848 108.99916626]
 [136.99726191 285.93732249]
 [ 91.6681065  285.89981408]
 [139.39802985 375.64474172]
 [ 94.83128176 365.91318659]
 [145.94480555 453.01893878]
 [105.97860886 442.63200677]]"
13,"[[115.51799758 156.08551082]
 [121.62133399 141.33905575]
 [107.64476509 142.76387463]
 [131.89777427 146.48584107]
 [100.80742383 146.8855994 ]
 [152.86999706 182.87969693]
 [101.58741094 176.04469286]
 [193.75873307 228.25197378]
 [ 56.25362348 150.84719494]
 [158.79954548 273.56777699]
 [ 85.9051542  105.42043379]
 [136.73184757 286.52345428]
 [ 91.50977943 286.44025367]
 [140.47599216 376.81180381]
 [ 95.34603571 371.31039172]
 [146.0902547  453.67208066]
 [105.75076192 442.67904668]]"
14,"[[115.55595123 156.25273275]
 [121.62418353 141.33786997]
 [107.70041506 142.74731356]
 [131.85497886 146.41810908]
 [100.74399188 146.96944368]
 [153.09881675 182.91888588]
 [101.44830526 175.98116942]
 [193.73493922 228.29430902]
 [ 56.34690697 150.78550986]
 [158.83018704 273.46510714]
 [ 85.89686248 105.46627146]
 [136.76944897 286.61199912]
 [ 91.59530704 286.4587183 ]
 [140.79367211 376.64905461]
 [ 95.15501443 371.40336675]
 [146.13518384 453.35367634]
 [106.15891481 442.59773316]]"
15,"[[112.85440629 152.54606269]
 [121.70897609 142.2902475 ]
 [108.25343455 143.56546091]
 [135.67448633 148.03389767]
 [101.26169362 147.67109398]
 [153.18078999 184.32899506]
 [103.22213836 175.89697174]
 [193.70211585 229.27166059]
 [ 68.043456   145.01047367]
 [159.55683789 274.00306127]
 [ 86.90024772  99.83118366]
 [137.65095152 286.23161053]
 [ 92.1439368  285.77198902]
 [141.37991994 375.91061642]
 [ 95.07427086 365.25447094]
 [146.39337693 453.48469916]
 [105.55020551 442.63069884]]"
16,"[[112.86192722 152.35105735]
 [121.57402657 142.27524825]
 [108.1721792  143.59813152]
 [135.65803068 148.15726509]
 [101.28905009 147.30647457]
 [153.06316513 184.28653424]
 [103.36674254 176.19602965]
 [193.75965361 229.26075528]
 [ 68.05909965 145.40012339]
 [159.67140505 273.50322766]
 [ 82.18670894  99.71126034]
 [137.6205857  286.56416457]
 [ 92.14327182 286.0116586 ]
 [141.16896849 375.74335606]
 [ 95.08205285 365.38033789]
 [146.31229813 452.89676537]
 [105.61641693 442.55079343]]"
17,"[[112.89072633 153.33904934]
 [122.27711439 143.3423071 ]
 [107.34472117 144.4640448 ]
 [135.07999471 148.34986593]
 [102.80556186 148.6431123 ]
 [153.84917627 185.62919901]
 [106.59799091 168.28947718]
 [194.31378462 229.18902953]
 [ 65.06388276 142.79004268]
 [161.10006106 273.20955583]
 [ 85.41084031  94.95958649]
 [136.66544928 295.13078762]
 [ 92.03690981 284.66945705]
 [141.377903   383.60856006]
 [ 94.69451726 364.70899557]
 [146.60228414 453.34136499]
 [103.69795286 440.10165134]]"
18,"[[112.70484906 153.38188415]
 [122.16675766 143.28761865]
 [107.28118961 144.48014886]
 [135.04855352 148.19292622]
 [102.68856352 148.32758733]
 [153.98446928 185.51481138]
 [106.54158253 168.29997075]
 [194.3818275  229.33389464]
 [ 64.9111909  142.56155426]
 [161.11901316 273.32672812]
 [ 85.20607964  95.14114942]
 [136.80982797 295.17072798]
 [ 92.32746876 284.65288089]
 [141.27501431 383.27093353]
 [ 94.51345153 364.41128779]
 [146.69880738 453.08479741]
 [103.51475615 440.17847309]]"
19,"[[113.56492849 155.00122389]
 [122.86616265 142.73918467]
 [109.01360124 144.05254468]
 [136.08397383 147.49258247]
 [102.58803044 147.46663674]
 [154.31711055 185.94943827]
 [104.1782677  175.9365436 ]
 [195.86028875 233.66566243]
 [ 67.63015703 139.54013125]
 [157.54099943 273.93603899]
 [ 86.29800004  90.5047889 ]
 [138.47051596 285.59887251]
 [ 92.39613129 284.50114816]
 [142.75737789 375.48669926]
 [ 94.48616564 368.48657063]
 [146.30573345 452.68490252]
 [105.64519955 442.05025302]]"
20,"[[113.57336652 154.92912347]
 [122.83281306 142.94005302]
 [109.10426188 144.16908565]
 [136.14696062 147.69405468]
 [102.72125911 147.43401279]
 [153.8234644  186.02025753]
 [104.28804737 175.82045622]
 [196.07691611 233.7053283 ]
 [ 67.55537223 139.49243669]
 [151.28773758 274.08955141]
 [ 86.31424273  89.94755149]
 [138.38839052 285.53361775]
 [ 92.67968315 284.48436338]
 [142.87673665 375.44222921]
 [ 94.41580716 368.92736246]
 [146.71957994 452.47426936]
 [105.32113576 442.16163915]]"
21,"[[113.51557665 151.97276308]
 [121.29212824 144.03469902]
 [109.20216455 143.50016085]
 [135.05927298 146.48471911]
 [104.31092755 146.32737041]
 [155.0830574  185.18566165]
 [104.50806012 175.99917771]
 [196.03404102 233.69258669]
 [ 71.14092544 137.44563138]
 [151.81602551 273.94808958]
 [ 88.32168369  86.77898979]
 [138.11528532 285.63680364]
 [ 92.18698502 284.84349858]
 [143.55820763 375.60094897]
 [ 94.85750731 368.93364886]
 [147.02869803 452.78802116]
 [104.96548103 441.98997056]]"
22,"[[113.76821079 151.69740767]
 [121.48634119 143.82066739]
 [109.19153715 143.26222465]
 [134.97387246 146.53507756]
 [104.4260539  145.90822587]
 [154.83349194 185.42929549]
 [104.44903782 176.08093933]
 [196.3229059  233.46823064]
 [ 71.76191225 137.49188215]
 [152.09148488 273.66984332]
 [ 88.35454003  86.62227378]
 [138.21715513 285.60854126]
 [ 92.28576426 284.53325333]
 [143.70520555 375.70149019]
 [ 94.4798615  368.76521988]
 [147.53055484 453.00291433]
 [104.83122535 442.14720671]]"
23,"[[115.65597913 150.35881972]
 [123.20895732 143.0709451 ]
 [109.9122045  142.70417099]
 [136.0790766  146.66829351]
 [105.68544081 142.91917566]
 [155.18603539 185.20501767]
 [106.04409897 176.67251554]
 [196.52355024 233.59510323]
 [ 76.68715283 134.10442614]
 [152.47455035 274.37043342]
 [ 87.62119948  85.84616659]
 [137.86574292 285.29675752]
 [ 92.82319505 285.32895053]
 [143.97444683 375.7552248 ]
 [ 95.07914697 367.76017274]
 [146.94456359 452.96377341]
 [105.07024927 441.81965106]]"
24,"[[116.05334385 150.64569117]
 [123.70173103 143.24594081]
 [110.15223277 142.88435137]
 [136.07708542 146.68310336]
 [106.02682033 142.91473998]
 [154.94030803 185.21783476]
 [106.32315805 176.65458341]
 [196.91548792 233.47999508]
 [ 74.75512525 130.83355707]
 [152.73531477 274.14384289]
 [ 87.99347748  85.71507516]
 [138.07452699 285.44428239]
 [ 92.73141053 285.4163192 ]
 [143.91363085 375.96352071]
 [ 94.94197716 368.14500113]
 [146.84708959 453.1424256 ]
 [104.99302848 442.02921646]]"
25,"[[118.42228693 153.83992874]
 [127.00135134 143.42359455]
 [111.80769943 143.79304628]
 [137.25401898 147.67189273]
 [107.55108453 142.18237066]
 [155.68648975 184.80168   ]
 [106.59022885 176.26619632]
 [197.15821048 234.09923666]
 [ 79.4691875  133.70843169]
 [153.5425924  274.71550622]
 [ 88.24955197  85.36374496]
 [138.24267998 284.57481041]
 [ 93.18652735 284.30675767]
 [144.2325015  375.73417315]
 [ 95.23236574 366.61564114]
 [147.29952174 453.39386648]
 [104.2735908  440.6996306 ]]"
26,"[[118.58068545 153.4636094 ]
 [126.99777635 143.22011997]
 [111.88245846 143.44545319]
 [137.10497698 147.60120042]
 [107.56637509 142.09568271]
 [156.00981298 184.71969468]
 [106.57843291 176.05302898]
 [197.0947483  234.25180657]
 [ 79.56360312 133.52568486]
 [153.76569582 274.53189991]
 [ 88.08763892  85.44793509]
 [138.34333323 284.39974917]
 [ 93.18306503 284.26772861]
 [144.18312905 375.59218877]
 [ 94.89732814 366.80239682]
 [146.98807757 453.48795524]
 [104.91190846 441.75510446]]"
27,"[[118.51669843 155.11585581]
 [127.3228019  144.06343488]
 [112.26189227 143.7081219 ]
 [137.55781994 147.97280959]
 [107.82603417 141.47523889]
 [156.86036346 185.93459616]
 [108.00653797 175.25786085]
 [198.3754491  235.13136726]
 [ 81.80590702 125.66373557]
 [152.50136137 275.54519988]
 [ 87.89767419  77.51855162]
 [139.29910866 285.1951266 ]
 [ 93.48516917 285.01240585]
 [142.64839132 383.19902525]
 [ 96.06583371 367.40301586]
 [147.33648753 453.54312884]
 [104.84113693 441.47884462]]"
28,"[[118.43913004 155.37548871]
 [127.24394338 144.06086295]
 [112.27629011 143.8180066 ]
 [137.65157606 147.914664  ]
 [107.78574483 141.25428508]
 [156.90899467 186.02212609]
 [107.93828487 175.42355596]
 [198.86821868 235.10044375]
 [ 81.75270541 125.4613356 ]
 [152.95566963 275.40669219]
 [ 87.84324016  77.19268542]
 [139.17063236 285.31371934]
 [ 93.3006466  285.16461481]
 [142.49515881 383.5301849 ]
 [ 96.10157498 368.21152744]
 [146.9858985  452.92947716]
 [104.89716885 441.59639706]]"
29,"[[120.45717916 157.64939081]
 [123.54336755 145.68683427]
 [113.1109699  144.44512041]
 [139.14811352 148.40620953]
 [109.59431794 143.2717438 ]
 [158.5058361  186.08795247]
 [108.80328368 171.90497695]
 [197.90554459 235.1719307 ]
 [ 86.13939132 132.4050602 ]
 [153.56734389 275.08143775]
 [ 89.59745617  74.19488873]
 [139.23683863 284.86231454]
 [ 93.57839358 284.86465865]
 [142.57028846 383.33643945]
 [ 96.46813122 368.50527269]
 [147.20667653 452.85419339]
 [105.02986649 441.54675914]]"
30,"[[119.64207696 157.9659149 ]
 [128.11684439 145.47379799]
 [113.07848726 144.44816995]
 [139.14459246 148.85725064]
 [109.50315855 143.71369258]
 [158.31043779 186.61345251]
 [108.76879167 172.67635338]
 [198.13105446 235.48344406]
 [ 86.25059508 132.94562057]
 [153.14152972 275.83213257]
 [ 89.65248649  73.07872995]
 [139.37742731 285.42033218]
 [ 93.93099955 285.32937873]
 [142.75251518 384.06361002]
 [ 96.77448529 369.29298713]
 [147.13009875 453.38656792]
 [105.59705265 442.11005513]]"
31,"[[120.30556309 156.77743061]
 [124.46451438 145.36840661]
 [113.51278687 145.05371059]
 [138.89848521 148.90120397]
 [110.05149704 143.3397736 ]
 [158.45913493 185.25654816]
 [108.66906853 172.33060758]
 [199.157651   235.87320495]
 [ 90.53772134 133.13953071]
 [153.35044723 276.15254627]
 [ 89.60931188  71.803094  ]
 [139.14074123 285.47507552]
 [ 93.74056218 285.36607741]
 [142.89838201 383.4181153 ]
 [ 96.34222358 368.16914142]
 [147.27915723 453.00573672]
 [105.517073   442.20046098]]"
32,"[[120.28025447 156.61757175]
 [124.44678783 145.32784867]
 [113.49792705 145.02370935]
 [138.85173389 148.9209024 ]
 [110.07239188 143.35828078]
 [158.41246433 185.47424863]
 [109.02908071 172.42041231]
 [199.18228707 235.91382603]
 [ 90.72334443 133.06028955]
 [153.25630778 276.10337223]
 [ 89.9588519   71.67733959]
 [139.30639688 285.13804326]
 [ 93.77837294 285.182245  ]
 [142.9568513  382.79471252]
 [ 96.50540168 367.53739768]
 [147.72559214 452.80469339]
 [105.4783417  442.18298862]]"
33,"[[114.43990174 155.60826872]
 [129.38601235 146.96410769]
 [114.29194755 146.04470408]
 [140.06734208 150.40682102]
 [111.34015568 143.83756505]
 [159.116827   185.70507018]
 [110.04302122 170.57744664]
 [198.52513273 236.13149836]
 [ 93.20173409 136.39130041]
 [153.85360172 276.91693261]
 [ 90.3129637   72.44295337]
 [139.23694691 290.25408005]
 [ 93.96842973 284.24994059]
 [142.82409458 382.78992138]
 [ 96.38820103 367.04122502]
 [147.42886422 452.85362863]
 [105.17471111 442.22500957]]"
34,"[[114.66889317 155.23402585]
 [129.44884801 146.73610785]
 [114.29428771 145.79644173]
 [140.33972314 150.06716811]
 [111.28131681 143.50469535]
 [159.58750109 186.01947937]
 [110.15597194 170.31407937]
 [198.60972744 236.21312755]
 [ 93.39936127 136.20760661]
 [153.67997311 276.98014589]
 [ 90.40232186  72.62571495]
 [139.12930165 290.46889362]
 [ 93.96227174 284.42674755]
 [142.92604075 382.97841592]
 [ 96.16800383 366.93634153]
 [147.60124805 453.06847788]
 [104.93278406 442.27238025]]"
35,"[[115.60245352 154.37402773]
 [130.48257391 146.87104345]
 [116.12910131 146.17909208]
 [141.09396609 149.01238149]
 [111.87520132 147.76959166]
 [161.27071539 185.2754849 ]
 [111.54895435 170.41146813]
 [198.41027567 236.80950999]
 [ 93.78256963 138.10912273]
 [153.57192528 276.90121438]
 [ 93.75305883  70.7280864 ]
 [139.59078668 290.60122024]
 [ 94.35315698 284.12570305]
 [142.87378853 382.69676244]
 [ 95.77067311 365.47376788]
 [147.65935324 452.70472379]
 [104.9635795  441.40680183]]"
36,"[[115.52233785 154.26754116]
 [130.30276396 146.77640503]
 [115.96517566 146.1142765 ]
 [141.0298616  149.1686048 ]
 [111.76543401 147.89078241]
 [161.29674945 185.50550564]
 [111.52102426 170.55804465]
 [198.6452396  236.83410936]
 [ 93.86510584 138.23984498]
 [153.26499244 276.74611149]
 [ 93.73908726  70.82247228]
 [139.60206395 290.4412008 ]
 [ 94.42035352 284.0225652 ]
 [142.73698556 382.59934898]
 [ 95.94863031 366.06494814]
 [147.51104355 452.74848567]
 [105.11487201 441.54020718]]"
37,"[[118.03783344 154.51280338]
 [131.74587929 146.20437767]
 [117.28427402 145.54922929]
 [142.5725558  149.17243661]
 [112.98869477 147.15104864]
 [161.52901703 185.43568482]
 [111.82707435 169.65311191]
 [198.6691736  237.04364595]
 [ 94.24288475 138.10043253]
 [153.61484572 276.60794929]
 [ 93.72481686  70.2618931 ]
 [139.83662807 290.29670213]
 [ 94.463693   283.77955101]
 [142.58124012 382.14941131]
 [ 95.77708287 365.36788861]
 [147.49568567 452.70511699]
 [105.09577016 441.17420574]]"
38,"[[117.95238964 154.3599631 ]
 [131.75506269 146.15944168]
 [117.30038911 145.54022206]
 [142.54780638 149.22769462]
 [113.02579693 147.26978138]
 [161.38347651 185.58894712]
 [111.95137586 169.76382693]
 [198.62412905 237.03949848]
 [ 94.27109547 138.06666535]
 [153.73463178 276.76539477]
 [ 93.72012623  70.76497516]
 [139.66643843 290.59363621]
 [ 94.44061635 283.89703621]
 [142.74740276 382.82117839]
 [ 95.98692744 366.20160134]
 [147.72978815 453.07826054]
 [105.3755382  440.92785655]]"
