,keypoints
92,"[[155.16271779  48.29123864]
 [160.18157712  41.88632413]
 [152.20564486  42.16133802]
 [170.26197592  41.37132421]
 [147.63866523  43.77523087]
 [196.64205409  57.29924919]
 [138.16942989  57.89880187]
 [235.67453107  57.62299215]
 [ 98.17499513  58.21615509]
 [272.70511982  58.326256  ]
 [ 43.58482436  55.1011855 ]
 [193.125447   126.20410656]
 [150.26849834 122.36992743]
 [194.0471686  180.9124867 ]
 [140.21925202 171.2305855 ]
 [190.86959103 214.24333421]
 [139.02120917 214.49354984]]"
93,"[[155.2120131   48.29383447]
 [160.24722448  41.86570503]
 [152.19312494  42.13579132]
 [170.27299232  41.35409822]
 [147.47699468  43.76438161]
 [196.64473553  57.30798373]
 [138.29430353  57.83729764]
 [235.68798002  57.64088664]
 [ 98.28156349  58.08728646]
 [272.83006141  58.35774751]
 [ 49.00705045  59.72479866]
 [193.10011654 126.15675499]
 [150.23320898 122.35633583]
 [194.06879306 180.9056947 ]
 [140.22694251 171.34034963]
 [190.86179425 214.21907711]
 [139.01085135 214.51071759]]"
94,"[[155.06317596  48.21036258]
 [160.13274817  41.77712829]
 [152.1277988   42.06439788]
 [170.21400855  41.26942319]
 [147.44866324  43.71561202]
 [196.67597648  57.25985007]
 [138.29766038  57.85943314]
 [235.62272519  57.62564153]
 [ 98.30596829  58.01790211]
 [272.88731966  58.36243564]
 [ 49.13341483  59.74358447]
 [193.08356099 126.13039727]
 [150.23438086 122.3114401 ]
 [194.03637352 180.86147216]
 [140.28417722 171.11386984]
 [190.84196526 214.28955897]
 [139.0446466  214.63251676]]"
95,"[[155.15432835  48.25317506]
 [160.19041997  41.81282103]
 [152.15991831  42.10739412]
 [170.26831963  41.2948592 ]
 [147.42623622  43.74194658]
 [196.63701948  57.23015568]
 [138.19550538  57.83228249]
 [235.6300726   57.59041253]
 [ 98.20592192  58.00184381]
 [272.91253239  58.36381965]
 [ 49.07338566  59.73228376]
 [193.06762165 126.24533752]
 [150.22857397 122.31811671]
 [194.03347007 180.96721846]
 [140.26005092 171.3987733 ]
 [190.81016327 214.28624725]
 [138.95136036 214.62719378]]"
96,"[[155.06134482  48.27385783]
 [160.13091115  41.8252547 ]
 [152.09943775  42.10783833]
 [170.19088326  41.32529371]
 [147.43653282  43.77849954]
 [196.65404458  57.26919885]
 [138.20423656  57.88454069]
 [235.62489134  57.62290244]
 [ 98.19439358  57.96372236]
 [272.87071836  58.37743042]
 [ 48.99015585  59.79029504]
 [193.01122919 126.13650342]
 [150.22468567 122.30108569]
 [194.04550766 180.8381422 ]
 [140.26328534 170.99251271]
 [190.84615359 214.22861905]
 [138.96537304 214.54318435]]"
97,"[[155.11824452  48.30610175]
 [160.17633565  41.84319621]
 [152.11691963  42.12620163]
 [170.25554475  41.31618368]
 [147.46708961  43.75347881]
 [196.66405595  57.25479152]
 [138.2071612   57.87288403]
 [235.65305931  57.66191233]
 [ 98.17712831  57.9868143 ]
 [272.90086278  58.38922744]
 [ 49.00490045  59.77875992]
 [193.0307837  126.16718319]
 [150.24974032 122.30204177]
 [194.02166794 180.82120198]
 [140.25718246 170.98940321]
 [190.81667785 214.19004687]
 [138.94634055 214.53554696]]"
98,"[[155.0870964   48.21257932]
 [160.15978229  41.76133767]
 [152.13733657  42.0461829 ]
 [170.25372707  41.24831792]
 [147.48908272  43.68292966]
 [196.67259675  57.25392697]
 [138.30420995  57.89128639]
 [235.69847305  57.62564587]
 [ 98.24102425  58.03553325]
 [272.95793873  58.41666458]
 [ 48.92935978  59.72580864]
 [193.04249973 126.14961282]
 [150.21176817 122.31523003]
 [194.06505949 180.84592753]
 [140.24788283 170.98625427]
 [190.67004857 214.12009242]
 [138.824813   214.4114417 ]]"
99,"[[155.16036463  48.24995993]
 [160.20776596  41.80500747]
 [152.17224719  42.08275973]
 [170.28522096  41.28288854]
 [147.51619454  43.70017157]
 [196.67849917  57.23666553]
 [138.22185669  57.87334705]
 [235.69146065  57.61710594]
 [ 98.18745114  58.05333512]
 [272.98545081  58.39480255]
 [ 43.87688155  55.24582014]
 [193.0533789  126.19597902]
 [150.24913622 122.3018117 ]
 [194.11377222 180.93851451]
 [140.21879457 171.18838979]
 [190.76746731 214.13292184]
 [138.84934024 214.38700265]]"
100,"[[155.10304785  48.24994257]
 [160.17260443  41.81625827]
 [152.15869733  42.07183233]
 [170.25583536  41.28489764]
 [147.53278843  43.68872833]
 [196.69864433  57.28965082]
 [138.23796017  57.94072592]
 [235.58310758  57.58759676]
 [ 98.24397613  58.03864709]
 [272.91964099  58.36881815]
 [ 48.90441412  59.74490554]
 [193.00082361 126.19469412]
 [150.2161933  122.27755858]
 [194.06008946 180.83528012]
 [140.26815581 171.07937047]
 [190.80034699 214.19824025]
 [138.97671537 214.5063221 ]]"
101,"[[155.14246163  48.26074263]
 [160.19998179  41.82107373]
 [152.16916547  42.08147989]
 [170.27326544  41.29147115]
 [147.53672449  43.697732  ]
 [196.67730846  57.2756812 ]
 [138.2064979   57.90931254]
 [235.63997095  57.62403251]
 [ 98.24940899  58.02314877]
 [272.92471192  58.35501421]
 [ 49.01547689  59.74928547]
 [193.01326348 126.20690063]
 [150.22395241 122.2667766 ]
 [194.03321444 180.82830653]
 [140.26279022 171.1311736 ]
 [190.74580315 214.16967376]
 [138.94343139 214.47180067]]"
102,"[[155.07419236  48.19951043]
 [160.14485437  41.75023737]
 [152.13474258  42.03608388]
 [170.25126896  41.24149046]
 [147.48257352  43.68486496]
 [196.68264444  57.2358111 ]
 [138.3099425   57.9053913 ]
 [235.60685043  57.61400078]
 [ 98.23262203  58.01034033]
 [272.94659067  58.38597179]
 [ 49.03365369  59.77024749]
 [193.0098111  126.15626302]
 [150.23326886 122.2429818 ]
 [194.05630207 180.88135548]
 [140.22512887 171.11669321]
 [190.74652161 214.15333764]
 [138.7376774  214.35588988]]"
103,"[[155.16686441  48.23542672]
 [160.21165763  41.78688654]
 [152.18263864  42.06785248]
 [170.27897277  41.27213116]
 [147.4693533   43.70325648]
 [196.66258404  57.21672361]
 [138.22797538  57.85588521]
 [235.63775905  57.6079366 ]
 [ 98.2058533   58.01535402]
 [272.97222386  58.37592993]
 [ 49.06906144  59.77861523]
 [193.03187216 126.13613734]
 [150.2145364  122.21814484]
 [194.04964285 180.8811927 ]
 [140.2151646  171.10907717]
 [190.76217707 214.15245862]
 [138.79639141 214.3919071 ]]"
104,"[[155.09808926  48.27166714]
 [160.16310315  41.82436555]
 [152.13687442  42.09453142]
 [170.24068848  41.29742247]
 [147.50179908  43.72577253]
 [196.68627039  57.27450555]
 [138.2161016   57.91345083]
 [235.59240721  57.61280415]
 [ 98.18550363  58.01482878]
 [272.95977591  58.37922392]
 [ 48.92460099  59.78536527]
 [193.01539465 126.13759731]
 [150.23981102 122.24933068]
 [194.02306181 180.82775596]
 [140.26704986 170.97495031]
 [190.82554425 214.15065463]
 [138.95674814 214.39884597]]"
105,"[[155.13731871  48.29298077]
 [160.19509619  41.84576455]
 [152.14779731  42.11435325]
 [170.26330386  41.32333381]
 [147.53747995  43.73602999]
 [196.67589441  57.27306004]
 [138.19969573  57.89868611]
 [235.64308428  57.64043808]
 [ 98.15567875  58.05378513]
 [272.95818561  58.36725689]
 [ 43.86266167  55.29995793]
 [193.02010501 126.14082981]
 [150.26399248 122.24717254]
 [194.00993173 180.80329014]
 [140.25816731 171.00846249]
 [190.79709643 214.12336435]
 [138.95427995 214.40257658]]"
106,"[[155.11025601  48.22274851]
 [160.18295333  41.77418952]
 [152.14994328  42.05041596]
 [170.261096    41.26740903]
 [147.49924276  43.69199483]
 [196.68587214  57.25649531]
 [138.29605158  57.89873531]
 [235.67704569  57.60565764]
 [ 98.22527058  58.06449693]
 [272.96553571  58.40414988]
 [ 43.88283105  55.17160876]
 [193.03080389 126.14721377]
 [150.23039703 122.28608982]
 [194.10518096 180.91487128]
 [140.23862356 171.09019044]
 [190.79969849 214.13702432]
 [138.78701374 214.34421839]]"
107,"[[155.04633316  48.30558374]
 [160.17326873  41.85502578]
 [152.15628834  42.10949944]
 [170.18097684  41.29084028]
 [147.48078477  43.69807059]
 [196.68395759  57.21410824]
 [137.95773447  59.01434418]
 [235.62548064  57.78644443]
 [ 98.25603928  58.11008756]
 [272.09116199  58.59746512]
 [ 43.90212455  55.03451854]
 [193.03926262 126.10580773]
 [150.26197568 122.40571169]
 [194.07887641 180.76870721]
 [140.37539486 171.1366156 ]
 [190.59227449 214.14556171]
 [138.89868936 214.53963895]]"
108,"[[155.26157749  48.39503155]
 [160.2008205   41.98120163]
 [152.38689011  42.25878459]
 [170.27257389  41.36775457]
 [147.91619234  43.77687895]
 [196.90222578  57.36270319]
 [137.75075782  59.13767604]
 [234.88520476  57.56923925]
 [ 98.13260929  58.51733859]
 [272.3356546   58.2571198 ]
 [ 43.08078358  54.62058692]
 [193.0492242  126.08738222]
 [150.0776245  122.36961127]
 [193.77036938 180.78382065]
 [140.37666764 170.80272804]
 [190.70274796 214.22905748]
 [139.44663161 214.76379312]]"
109,"[[155.77968746  48.45536086]
 [160.38743184  42.68485832]
 [152.95910194  42.67382349]
 [171.16938547  41.8904436 ]
 [148.86674655  43.57806383]
 [195.47702378  58.33012732]
 [136.97751884  59.66807517]
 [235.01368819  57.60790187]
 [ 98.7156088   60.43556134]
 [275.93772037  57.63068923]
 [ 46.84015045  61.29695557]
 [192.7061039  123.15358757]
 [147.84122886 121.60514082]
 [193.82779782 180.55243459]
 [140.4320295  171.78066221]
 [190.2432706  213.96603594]
 [138.9333652  213.85274703]]"
110,"[[155.81450187  48.48722568]
 [160.5145944   42.5963684 ]
 [152.96138783  42.56015222]
 [171.16604207  41.96834906]
 [148.81075974  43.6637662 ]
 [195.43586834  58.37259253]
 [137.58522554  57.13226634]
 [235.28154096  57.64952929]
 [ 98.50766277  60.26083874]
 [275.84462854  57.58540535]
 [ 47.31341311  61.48868278]
 [193.21796568 126.1180316 ]
 [151.27422337 121.93625353]
 [193.72361425 180.41867019]
 [140.13769828 168.61955857]
 [190.19934223 213.76472338]
 [139.33579587 213.88307519]]"
111,"[[153.25082706  48.20881482]
 [160.15776834  42.45353232]
 [153.26205705  42.48012299]
 [171.83721519  40.72792954]
 [149.31266061  42.55017728]
 [189.88201521  55.33872907]
 [136.76223415  59.36889352]
 [240.90541309  54.24742468]
 [ 97.58565863  62.71789998]
 [279.24121429  59.90780508]
 [ 44.53936375  64.03935834]
 [192.46103738 122.52628312]
 [148.7159027  122.16416576]
 [192.95520537 179.22083598]
 [140.75383008 171.39582296]
 [190.31927679 212.4513043 ]
 [138.00476037 212.62771551]]"
112,"[[153.31977779  47.92572403]
 [160.1566375   42.27425325]
 [153.33296101  42.32778115]
 [171.94435199  40.47689313]
 [149.40898349  42.33200843]
 [189.82773306  55.54268594]
 [136.90896972  59.46163316]
 [240.7168238   54.41098549]
 [ 97.88761072  62.99619195]
 [279.41733883  60.02026019]
 [ 44.50127455  63.93325174]
 [192.33672075 122.26376079]
 [148.72583603 122.21432732]
 [192.90559322 179.32982129]
 [140.79398317 171.34906319]
 [190.35825801 212.47980315]
 [137.90628596 212.64032354]]"
113,"[[152.77186111  48.19093047]
 [160.5964147   42.53504467]
 [152.97650915  41.94572159]
 [173.79456136  40.39656258]
 [148.89974396  41.15550738]
 [190.0599063   55.91434768]
 [137.27019686  59.2245244 ]
 [243.3615865   56.02676444]
 [ 98.00366235  62.8719883 ]
 [285.96119157  61.84311347]
 [ 44.2407961   66.80500136]
 [191.88819387 121.5075026 ]
 [148.27853753 122.25662179]
 [193.33046335 178.19024435]
 [140.76564298 169.92720724]
 [191.29253989 212.28019945]
 [137.6139702  212.33271013]]"
114,"[[152.65282261  48.08118478]
 [160.53006789  42.42368889]
 [152.8697706   41.77125944]
 [173.86349729  40.30373975]
 [148.74544167  40.97592157]
 [189.70322403  55.87047603]
 [137.20907453  59.21585787]
 [243.19964753  56.33161453]
 [ 97.55641834  62.95263284]
 [286.20540508  61.95184773]
 [ 43.81244533  66.72606712]
 [191.9297193  121.47969323]
 [148.24196732 122.18689452]
 [193.5359977  178.57437739]
 [140.90752962 170.11812127]
 [191.36598571 212.15342601]
 [137.82017357 212.12549328]]"
115,"[[152.97050751  48.92541451]
 [160.3939772   42.49034211]
 [153.11149674  41.74784483]
 [173.59661997  40.2110645 ]
 [148.53471194  40.74139634]
 [189.93424154  56.75736921]
 [135.99535234  60.64611994]
 [237.06605959  58.04972787]
 [ 99.18558726  66.57916944]
 [282.08304789  63.17763638]
 [ 48.19029749  67.06913415]
 [192.68022047 121.71721619]
 [148.16858743 122.43337736]
 [194.03307384 179.05864617]
 [140.75331882 172.70819526]
 [191.22443543 212.84429922]
 [138.29938455 213.11300909]]"
116,"[[152.83961979  48.66140905]
 [160.29682637  42.25808788]
 [152.95559003  41.5211592 ]
 [173.53857397  39.92438527]
 [148.53838834  40.49331895]
 [189.78253392  56.90418585]
 [136.00497487  60.69083155]
 [237.36199961  58.10149989]
 [100.79335438  67.85773031]
 [282.14949612  63.29539095]
 [ 48.008099    67.34516815]
 [192.53045901 122.13852727]
 [148.31235901 122.80211771]
 [194.07608396 179.5622137 ]
 [140.76678929 171.10191655]
 [191.03160534 213.16642376]
 [138.3266336  213.1763553 ]]"
117,"[[156.92384212  45.72640529]
 [161.38283959  41.61163001]
 [153.82050981  41.20174263]
 [172.97193559  40.00821745]
 [148.23365659  41.09245202]
 [189.97387126  58.46370145]
 [135.28751215  61.39447087]
 [236.00168244  61.82312452]
 [102.59498153  70.22090159]
 [281.61280505  67.87088999]
 [ 54.45492519  70.03613151]
 [192.31353087 120.68365468]
 [147.51976868 119.89023537]
 [194.04006539 178.39086454]
 [140.44912726 171.00042212]
 [191.60071796 212.81073314]
 [138.59552571 213.68440187]]"
118,"[[157.01412065  45.65307655]
 [161.39566156  41.63473353]
 [153.82917507  41.17356465]
 [172.88932064  39.98089823]
 [148.25758443  40.95775867]
 [190.17059101  58.32255975]
 [135.26347196  61.26971738]
 [236.47558754  61.59250825]
 [100.19866374  68.76958018]
 [281.83786095  67.71691671]
 [ 54.16934096  69.81180515]
 [192.36732665 121.24020604]
 [147.26932446 120.2483681 ]
 [194.56797077 179.25825494]
 [140.29765038 172.10940223]
 [191.99709049 213.16841984]
 [138.27958517 214.09523954]]"
119,"[[152.94909495  48.83488149]
 [161.03301096  41.63277869]
 [154.25714811  41.36465592]
 [172.56901753  39.77890199]
 [148.13508481  41.11404781]
 [185.5662615   53.02256354]
 [135.84486031  61.20924772]
 [233.47674532  63.44283847]
 [104.63658408  71.08773925]
 [268.66908038  68.8172935 ]
 [ 53.0331083   72.57820136]
 [190.86667884 120.22868111]
 [147.3297909  119.47284698]
 [203.94117284 179.70660164]
 [140.17493078 171.0721943 ]
 [200.06783909 211.60612212]
 [138.63509758 213.99070759]]"
120,"[[153.10187286  48.83609403]
 [161.12364199  41.66893229]
 [154.39814037  41.41898905]
 [172.6106358   39.7842152 ]
 [148.06317951  41.15770169]
 [185.48437443  52.92114074]
 [135.71876906  61.25547067]
 [233.61546615  63.50746017]
 [104.21579666  71.06892234]
 [269.38735036  68.67582768]
 [ 52.76618119  72.58616394]
 [190.84506312 120.27817544]
 [147.24976187 119.77580735]
 [203.81245261 179.79034917]
 [139.99908273 171.14111635]
 [199.99694017 211.70217238]
 [138.64092498 214.45730689]]"
121,"[[153.00371279  48.72532391]
 [161.47911236  41.20988898]
 [154.26945579  41.28119995]
 [171.64851557  39.37987762]
 [147.68627875  41.68721311]
 [186.54996381  54.38662457]
 [135.76017609  61.57462245]
 [234.27299254  64.64095267]
 [104.18120087  72.06514782]
 [276.1965722   76.62242889]
 [ 49.15409816  79.73152167]
 [190.68391796 121.46569214]
 [151.00620713 119.52014792]
 [203.03506701 181.28245189]
 [139.31641794 169.01701155]
 [199.53848938 212.35552426]
 [139.13057871 215.20255809]]"
122,"[[152.94693284  48.52645598]
 [161.4338066   41.09288031]
 [154.19201168  41.1762473 ]
 [171.4725989   39.33491135]
 [147.63586606  41.65984904]
 [186.47900569  54.41513535]
 [135.87522404  61.63704984]
 [234.10492648  64.62531544]
 [102.01564765  71.92540822]
 [275.65133528  76.56705685]
 [ 49.07584511  79.33189537]
 [190.62222987 121.590707  ]
 [151.00904465 119.5057623 ]
 [202.99465021 181.16795803]
 [139.03790699 167.78171145]
 [199.6903968  212.51537905]
 [139.05596203 215.12329286]]"
123,"[[152.62382181  48.00509959]
 [160.64567721  40.62436959]
 [153.6337641   40.92892667]
 [171.23119196  39.52135066]
 [146.85869439  41.83078496]
 [185.33176066  53.25385048]
 [138.77471817  60.90106675]
 [231.41520682  66.56462683]
 [101.5592473   73.57655906]
 [267.44859941  81.18144568]
 [ 50.78521056  86.46657444]
 [188.82257715 121.68833064]
 [150.47993711 120.88824305]
 [193.58978137 177.24234107]
 [139.59083979 166.99516382]
 [190.47215292 212.70450391]
 [136.96693516 213.47939271]]"
124,"[[152.82037203  48.44908155]
 [160.73616681  40.7507292 ]
 [153.78020704  41.00451989]
 [171.49994348  39.3846258 ]
 [146.8739489   41.64375022]
 [185.11335927  53.11319496]
 [135.08474469  62.2349718 ]
 [231.72226751  66.49496828]
 [106.3434551   72.27114525]
 [267.59990004  81.03695863]
 [ 50.40301216  86.80861848]
 [188.91394548 121.47094928]
 [150.59614751 120.81016251]
 [193.56237222 176.58646209]
 [139.59383472 166.04757309]
 [190.21707907 212.80494026]
 [137.22032688 213.35728172]]"
125,"[[151.95399581  49.92207073]
 [160.22072147  40.18514666]
 [152.80416192  40.74720514]
 [170.64373436  39.78954434]
 [146.04168176  42.09884841]
 [184.15748723  52.23689638]
 [139.01589303  60.19458271]
 [229.69068575  68.09145174]
 [108.70637118  72.57598195]
 [264.53993279  82.71510058]
 [ 60.80504034  89.98438763]
 [188.08936681 122.07951542]
 [149.81452716 120.42972644]
 [192.88637438 168.76122877]
 [140.22345246 166.45342962]
 [189.87478889 210.90105247]
 [135.70774771 210.83182802]]"
126,"[[152.19088748  49.9850769 ]
 [160.45687769  40.26271787]
 [152.94643268  40.81372741]
 [170.56383988  39.91551761]
 [146.0220196   42.15987732]
 [184.49880735  52.57928335]
 [138.97563432  60.34752576]
 [229.978682    67.92091011]
 [108.52510104  72.70046377]
 [264.91408819  82.60065375]
 [ 60.83491701  90.00739999]
 [187.99575901 122.3298714 ]
 [150.02670256 120.07836546]
 [192.93775175 168.3574753 ]
 [139.98528128 166.16402034]
 [190.2310016  210.68769619]
 [135.61063052 210.87994648]]"
127,"[[151.39298942  50.93093346]
 [159.33023207  40.88713284]
 [152.15304786  41.74965931]
 [169.51835126  39.50863194]
 [145.82305972  42.53170257]
 [186.11402345  57.6017827 ]
 [137.61791114  61.21803941]
 [230.26506003  70.79903012]
 [107.40065033  77.02012424]
 [261.50612075  85.83409632]
 [ 61.2331348   93.39068262]
 [188.22350914 122.83138715]
 [150.60193153 121.4542698 ]
 [192.26226585 171.11511784]
 [140.22395565 167.20909454]
 [189.39205708 213.15080426]
 [135.11816668 211.36071652]]"
128,"[[151.36913759  50.93861968]
 [159.26031297  40.94200713]
 [152.15760215  41.77600617]
 [169.42478718  39.59964246]
 [145.77680374  42.66116662]
 [185.8053839   57.6967123 ]
 [137.68353866  61.18306653]
 [230.07877714  70.93532054]
 [107.43005341  76.93225505]
 [260.49186097  85.27383568]
 [ 61.80403417  93.26254614]
 [188.10223318 122.74873713]
 [150.60401426 121.35528222]
 [192.05780449 171.08092052]
 [140.28927372 167.18817665]
 [189.21905597 212.96058296]
 [135.12941181 211.07991771]]"
129,"[[149.62557662  52.08016521]
 [157.46786936  41.00391579]
 [150.51275087  42.25954858]
 [168.13587212  39.75180054]
 [145.12948111  43.3718678 ]
 [193.0541014   61.36979452]
 [137.41756075  61.95014467]
 [232.05960179  70.58303876]
 [109.35496928  77.59394429]
 [252.98897173  87.58641855]
 [ 67.1387029   95.35515744]
 [195.90701261 119.56140058]
 [151.18697946 122.62669885]
 [192.07297222 168.47102403]
 [140.51327749 165.11677716]
 [189.40662946 213.12063635]
 [134.53497341 208.89174179]]"
130,"[[152.90079526  45.86123248]
 [157.54636964  40.80868912]
 [150.56413833  42.11809507]
 [168.13838808  39.53870905]
 [145.33433938  43.22645977]
 [186.99032526  59.99874542]
 [137.38494545  61.98588154]
 [232.00601522  70.56841656]
 [109.53965144  77.64179397]
 [253.69811834  87.40984673]
 [ 67.22502384  95.25913069]
 [189.67386131 121.79177122]
 [152.27309005 121.42386351]
 [191.75091399 168.27155172]
 [140.63940373 164.74985708]
 [199.3584678  213.81142527]
 [134.76356465 208.98982357]]"
131,"[[150.441338    47.49101225]
 [157.07498525  41.02026926]
 [150.12783134  42.58729418]
 [167.69522813  40.25521903]
 [149.39192879  43.28344371]
 [186.99584692  61.57762343]
 [138.73082343  63.41250308]
 [231.62974346  74.39403705]
 [108.51485759  83.38153366]
 [248.38180391  98.5775791 ]
 [ 72.49661861 103.05160108]
 [190.46513716 121.76704621]
 [152.34155441 121.69471162]
 [190.79798979 168.55705486]
 [142.10114095 158.14015684]
 [198.2741325  213.07693725]
 [135.48068477 207.7938581 ]]"
132,"[[152.28059151  45.96508906]
 [156.94214059  41.11451734]
 [150.18005767  42.75290387]
 [167.66642242  40.23416874]
 [149.73173664  43.58669274]
 [187.07669935  61.52767024]
 [138.86450764  63.67559407]
 [231.75671463  74.40187972]
 [107.97957889  83.24661386]
 [248.27575086  98.73563859]
 [ 72.24869574 103.06966196]
 [190.45766059 121.59232722]
 [152.52253562 121.7170251 ]
 [190.65371098 168.59095573]
 [142.24909616 158.19261761]
 [198.39177444 213.14661098]
 [134.77998649 207.98753291]]"
133,"[[150.04736034  47.77216702]
 [156.4413746   41.23022882]
 [149.22606587  43.38313705]
 [168.06414644  40.62676936]
 [150.0345424   44.77582642]
 [187.37892254  63.99199663]
 [139.88688643  64.59498004]
 [231.6120416   77.9721998 ]
 [112.25376778  84.70326549]
 [246.68735254 102.59078453]
 [ 76.23413497 106.04956995]
 [190.73403667 120.61489922]
 [152.80847201 121.64112367]
 [189.55193349 169.28865779]
 [141.94280977 154.7379278 ]
 [189.12841552 210.70282265]
 [133.46630223 209.40949887]]"
134,"[[149.9012625   47.7859999 ]
 [156.38244347  41.10847559]
 [149.10703006  43.39080084]
 [167.97513463  40.55852956]
 [149.83211533  44.82424874]
 [187.40802155  64.03227839]
 [139.64831028  64.68674587]
 [231.76108997  77.82198281]
 [111.86102956  84.56210353]
 [247.1188026  102.870246  ]
 [ 76.24618871 106.31800237]
 [190.71258509 121.04854233]
 [152.66428906 121.62105876]
 [189.8215582  169.49818453]
 [141.70218923 154.80865347]
 [199.01953448 211.83712111]
 [135.43392459 206.88834697]]"
135,"[[148.53048594  52.97448994]
 [156.30536986  42.18777387]
 [147.84696646  44.48780767]
 [167.90508334  42.08113046]
 [150.0957421   45.23974669]
 [191.92015327  63.36552337]
 [141.29883121  65.34764507]
 [228.55402826  79.93855476]
 [118.46507939  83.82374671]
 [246.48972412  97.93015693]
 [ 85.52210859 104.13146368]
 [189.85432823 120.88686817]
 [152.05174553 121.52259064]
 [188.03277589 169.5696985 ]
 [141.5259685  147.66117898]
 [189.36162877 210.65082925]
 [134.93704154 208.32317997]]"
136,"[[148.96211015  46.99021555]
 [156.3540873   42.19699458]
 [147.90994818  44.40923517]
 [167.9336092   42.03783759]
 [150.13861296  45.15706049]
 [191.743428    63.53591669]
 [141.59875842  65.4103604 ]
 [228.83143494  80.14684454]
 [118.69149754  83.88095566]
 [246.1651533   97.72896953]
 [ 85.57256232 104.06168359]
 [189.73361332 121.10012606]
 [152.19951709 121.68825531]
 [188.18278087 170.40061482]
 [142.24343391 163.25184283]
 [189.59523759 211.00755119]
 [135.58401029 206.93863152]]"
137,"[[147.29948503  50.69152622]
 [159.04542013  42.79654907]
 [146.78175851  43.0008561 ]
 [168.70583641  43.0447925 ]
 [150.27679428  45.19954741]
 [192.0377831   63.1578623 ]
 [142.22079028  65.49035816]
 [225.91771723  75.11653037]
 [120.1305797   84.62790739]
 [236.04214364 100.10588552]
 [ 87.65154637 108.79018501]
 [190.08425258 121.00057272]
 [151.86213774 121.16909974]
 [190.82367007 170.78495528]
 [142.50081517 163.66385795]
 [191.56505324 210.57285144]
 [135.04981099 206.35429935]]"
138,"[[147.22784343  50.74142588]
 [159.094889    42.90826551]
 [146.91700813  43.10780048]
 [168.72421637  43.1713489 ]
 [150.34896866  45.32059525]
 [192.16267558  63.03754372]
 [142.51146293  65.69021291]
 [226.07839956  74.75641279]
 [120.41622783  84.65016589]
 [236.08238822 100.14660118]
 [ 87.7945228  108.63937404]
 [190.1158467  120.85273235]
 [151.93451664 120.98580827]
 [190.65585829 170.47366539]
 [140.35383296 146.12505915]
 [191.5218783  210.35270967]
 [133.29505203 208.83045604]]"
139,"[[146.89477351  50.07616556]
 [159.70096873  43.02606422]
 [147.50826658  43.38107586]
 [168.80786797  42.80777527]
 [150.59712968  45.75473702]
 [184.83610731  62.45030318]
 [143.48670516  66.09377276]
 [225.21854836  77.84068433]
 [119.40411065  89.10938118]
 [231.59429467 109.41279852]
 [ 93.97787292 114.27948985]
 [195.39121007 116.88530268]
 [152.87986403 120.19403506]
 [186.65206331 158.97911966]
 [137.12548582 150.68744883]
 [186.48124988 205.23044501]
 [133.26785478 208.87128041]]"
140,"[[146.98693564  50.20610783]
 [159.73557326  43.11521612]
 [147.74341053  43.44327535]
 [168.90996276  42.79789149]
 [150.84367887  45.76357429]
 [184.78534683  62.40382122]
 [143.61759558  65.94110173]
 [225.0833835   77.76298181]
 [119.52458876  89.06460663]
 [231.27257246 109.09239295]
 [ 94.01809059 114.29583898]
 [195.34553128 116.91541886]
 [153.08719621 120.21239582]
 [186.77089125 159.18607896]
 [136.95795154 150.91427625]
 [186.46127558 205.28391141]
 [132.93342631 209.04129896]]"
141,"[[146.40764482  49.70373404]
 [159.14454084  42.4172239 ]
 [147.10700878  42.62828929]
 [168.81595065  42.01029771]
 [150.21109007  44.42844384]
 [189.80628485  63.45378396]
 [142.73147884  65.23320691]
 [215.32785993  84.53935742]
 [120.07463526  88.72435826]
 [223.41031379 101.57063701]
 [ 96.9361416  117.61520096]
 [191.51626247 116.833136  ]
 [152.50715733 121.14439777]
 [193.94220198 157.49614867]
 [139.61212083 154.24990924]
 [183.85744498 200.96093914]
 [134.18924498 210.15394158]]"
142,"[[146.39630013  49.66606403]
 [159.10147354  42.33351254]
 [147.02383952  42.47245703]
 [168.79785593  41.99847826]
 [150.23667886  44.30421777]
 [189.82449393  63.50131206]
 [142.71730605  65.18209615]
 [215.53102766  84.56996411]
 [119.92336289  88.54460894]
 [223.09294372 101.04566469]
 [ 96.9036938  117.57770315]
 [191.5745789  117.25471151]
 [152.36518122 121.28206189]
 [193.83208908 157.53096673]
 [139.58066125 154.61302961]
 [184.00654718 201.10870499]
 [135.80959732 209.26819223]]"
143,"[[146.76645152  47.6767857 ]
 [158.4710065   40.12641769]
 [145.72914852  40.25904695]
 [169.70486589  42.08513779]
 [149.14788076  43.83545021]
 [185.97051423  62.51555502]
 [142.58794943  66.10203486]
 [221.53978569  78.86991872]
 [121.5087817   89.8415747 ]
 [222.78673805 110.64666478]
 [ 99.87194022 118.46503185]
 [190.41293101 119.67397053]
 [152.07167677 122.80361829]
 [187.47028549 168.35476316]
 [142.34852162 163.15867056]
 [185.38728667 202.77983139]
 [133.24314877 208.27199831]]"
