,keypoints
12,"[[146.36204676  50.11486091]
 [151.08139798  48.75858681]
 [139.36173514  48.70490134]
 [165.11973773  45.02631118]
 [141.92456099  48.94105374]
 [186.37028868  71.37568349]
 [136.87690873  69.92747521]
 [208.64536002 100.38363253]
 [120.86965881  96.8342147 ]
 [192.19730029 137.59953453]
 [101.66788358 126.76805549]
 [193.96010767 120.12612245]
 [147.08195951 119.27297053]
 [177.03745599 152.71542595]
 [137.08071285 144.66729731]
 [175.63298878 214.91690547]
 [131.96262148 210.20879995]]"
13,"[[146.32872174  50.17236576]
 [151.05784483  48.75292126]
 [139.30368611  48.6887801 ]
 [165.04610422  44.98835541]
 [141.90337715  48.95978673]
 [186.20784854  71.39989103]
 [137.00388192  69.70530553]
 [208.57744158 100.3685379 ]
 [120.84111681  96.84273689]
 [192.2836589  137.45598655]
 [101.90622765 126.67649223]
 [193.66186427 119.6875634 ]
 [147.07111533 119.1654329 ]
 [176.88765888 152.45709255]
 [137.042551   144.57303548]
 [175.80309385 214.40539524]
 [132.03351434 209.86045009]]"
14,"[[142.31999037  51.90084997]
 [151.22314738  48.46307607]
 [139.4709318   48.5208589 ]
 [165.42407459  44.56285756]
 [141.76915208  48.10140579]
 [187.18192362  69.94891581]
 [137.42185134  67.67736386]
 [210.88364835  99.52780546]
 [117.13074589  95.37415143]
 [198.1038939  135.58388256]
 [ 92.11951426 116.60715504]
 [187.95875692 120.96578831]
 [148.14284997 120.45270696]
 [190.91644034 155.61109517]
 [136.44539418 145.85936256]
 [188.36481791 212.74033086]
 [131.55465771 209.70505445]]"
15,"[[142.272319    51.95001747]
 [151.1636954   48.40270915]
 [139.37012257  48.49508575]
 [165.43552624  44.69264465]
 [141.70297496  48.13171803]
 [187.15006646  69.96958121]
 [137.38389466  67.74637633]
 [210.70647236  99.4829904 ]
 [117.12741056  95.10839081]
 [198.29224068 135.55691568]
 [ 92.1336413  116.66945221]
 [187.75869916 120.6900466 ]
 [148.15174597 120.04762636]
 [178.55487344 159.54631049]
 [136.53435418 145.34483218]
 [189.3477466  201.9029251 ]
 [130.8687992  208.8986481 ]]"
16,"[[142.20140394  53.37352805]
 [151.61743853  48.83066248]
 [139.0725048   48.98071032]
 [164.91035545  45.47476821]
 [141.11104312  48.19017353]
 [180.96943778  67.68269226]
 [136.38052818  67.8177553 ]
 [212.18279676  97.51813665]
 [114.14437608  89.05068115]
 [207.60090167 128.14604707]
 [ 92.69345564 119.99777011]
 [184.32107132 119.24971924]
 [149.21450322 120.94281927]
 [185.07123512 168.83958133]
 [142.67146447 166.56500316]
 [188.84363317 212.68947151]
 [133.57524729 210.15091455]]"
17,"[[142.26067428  53.50575362]
 [151.62426122  48.89515251]
 [139.07989828  49.08510516]
 [164.9390098   45.53433805]
 [141.1142984   48.22573387]
 [181.03425467  67.60809165]
 [136.33437378  67.8445746 ]
 [212.08479814  97.47420423]
 [114.11432685  89.5006752 ]
 [207.4987867  128.26338854]
 [ 92.61406705 119.98964402]
 [184.30801053 119.14038431]
 [149.30267682 120.93504623]
 [184.83030379 168.56250336]
 [142.869087   166.12717148]
 [188.80913762 212.73102984]
 [133.62039194 210.11245162]]"
18,"[[142.4024183   55.0135377 ]
 [152.10104622  49.21803164]
 [138.95548175  49.82069613]
 [165.30736235  44.88278708]
 [139.96813913  49.33404937]
 [180.53872845  67.22316712]
 [136.21100703  68.19229359]
 [219.92488173  86.30177649]
 [111.12708957  86.67006539]
 [217.31152143 114.96514209]
 [ 84.31740753 113.20359408]
 [190.21719276 121.16668333]
 [149.95326347 121.69709765]
 [187.55384224 162.34888412]
 [141.78140157 163.33197949]
 [188.37833682 197.77914307]
 [136.58932721 203.81455698]]"
19,"[[142.48906686  54.86763842]
 [152.05839735  49.12584692]
 [138.95412959  49.69676813]
 [165.31034248  44.81905888]
 [139.93034929  49.24289416]
 [180.50337889  67.1955057 ]
 [136.26329054  68.21062072]
 [220.02460654  86.335123  ]
 [111.13719646  86.68188121]
 [217.45515309 115.03013275]
 [ 84.36816398 113.2673353 ]
 [188.65284678 118.58401688]
 [149.7362398  121.60869598]
 [193.24096921 154.47727999]
 [141.48893681 163.88763086]
 [188.36507219 198.06780825]
 [135.86387128 204.00032418]]"
20,"[[145.76501371  53.00398284]
 [151.92853081  49.58619316]
 [139.02244797  49.93085492]
 [165.06711786  44.48867403]
 [139.02031681  49.2885716 ]
 [187.82060857  67.08079516]
 [136.18033453  68.39167845]
 [220.01505666  83.02789806]
 [107.44241659  86.08156888]
 [223.51199268 111.40635694]
 [ 76.39173223 111.48153923]
 [189.54907714 120.69686311]
 [151.29468336 121.24934782]
 [179.42358886 150.58518499]
 [141.35252608 142.88449652]
 [186.95110187 201.49697488]
 [137.91436983 208.39402935]]"
21,"[[145.7386836   52.95121242]
 [151.89912638  49.5166482 ]
 [139.016038    49.86830092]
 [165.09361884  44.41113646]
 [138.98190874  49.27230712]
 [187.68547802  66.9697313 ]
 [136.18614007  68.28874647]
 [219.98889472  82.91025997]
 [107.51925559  86.14780755]
 [223.61661756 111.08595934]
 [ 76.55667554 111.1327712 ]
 [189.41695027 120.64960269]
 [151.14577491 121.3921839 ]
 [179.13722966 150.78673918]
 [141.39102967 142.8881736 ]
 [187.01533551 201.59412772]
 [137.91676201 208.3145185 ]]"
22,"[[145.96491944  53.11497869]
 [152.68327009  50.14000988]
 [139.50113004  50.69251141]
 [164.22236375  45.16726043]
 [140.59764015  50.644296  ]
 [189.44918415  67.68938985]
 [136.87659458  69.0968331 ]
 [228.40668219  96.53665319]
 [106.48569424  84.65162225]
 [226.26901764 104.71815872]
 [ 65.70532399 102.50273231]
 [193.09374928 121.27839976]
 [152.9421246  121.88494991]
 [187.41489066 169.67335214]
 [140.85305574 146.69264278]
 [200.88194962 212.06287417]
 [136.00335497 211.41218107]]"
23,"[[146.1368913   52.94631014]
 [152.77336295  50.08025574]
 [139.60933242  50.68667874]
 [164.23115616  45.21707038]
 [140.7994019   50.35966349]
 [182.796422    65.8514962 ]
 [136.60046269  69.08527736]
 [226.38719788  85.94919573]
 [105.59937164  84.60181664]
 [230.2015361  102.78644239]
 [ 65.31340249 102.56484209]
 [193.27091787 121.36094271]
 [152.8794308  121.7132471 ]
 [188.09056895 169.60009973]
 [140.81439877 146.43175261]
 [201.08375375 211.92014083]
 [135.55771539 210.73989145]]"
24,"[[146.88683276  52.23211094]
 [153.07310381  48.32973492]
 [140.39636376  49.84202351]
 [163.5921779   44.85942275]
 [142.42128329  50.54863497]
 [189.0042785   65.40064555]
 [136.70818744  68.92638769]
 [228.21444627  83.69408588]
 [ 95.3795201   81.66257964]
 [246.48072183  97.0192311 ]
 [ 52.74193918 100.36205085]
 [186.4111784  122.36386343]
 [150.85190955 122.82471045]
 [188.43848035 168.75795829]
 [136.77323306 155.40457285]
 [190.24414245 213.28087422]
 [133.90096998 208.38692336]]"
25,"[[147.17710178  52.307477  ]
 [153.19702623  48.25251894]
 [140.51844731  49.76646357]
 [163.65381755  44.95382385]
 [142.71954081  50.62765097]
 [189.22795197  65.49146363]
 [136.63076923  68.76251507]
 [228.26716268  83.94701418]
 [ 95.35306452  81.80312229]
 [246.50527733  97.09737042]
 [ 52.67192152 100.15265596]
 [186.42796873 122.57486389]
 [151.00393066 122.7929281 ]
 [188.62535825 169.45114016]
 [136.9099048  155.66479453]
 [200.79752641 214.23447704]
 [134.50264485 208.86928289]]"
26,"[[146.60798378  51.33193166]
 [153.11589126  47.08758408]
 [140.31690823  48.4253592 ]
 [163.83471097  46.04940271]
 [143.24404428  50.8314928 ]
 [189.92815346  64.87080857]
 [132.70358723  64.7387031 ]
 [230.75247832  74.343137  ]
 [101.3000719   75.95997278]
 [245.402072    93.56911087]
 [ 49.60638553  90.06962118]
 [186.3198242  121.61362784]
 [151.91784404 123.33182302]
 [190.4804502  168.66187312]
 [137.22512621 156.93929054]
 [198.90301732 213.23542539]
 [133.29162437 208.78329836]]"
27,"[[146.73506527  51.4712907 ]
 [153.18187935  47.23309268]
 [140.466186    48.61487185]
 [163.75719051  46.23449275]
 [143.53545086  50.87610891]
 [190.01696076  64.75630241]
 [132.55079115  64.65221431]
 [230.8227284   74.21620114]
 [101.25134235  75.90968859]
 [245.23332279  93.58793285]
 [ 49.82833482  89.79024907]
 [186.2611667  121.80949695]
 [147.18156728 123.19760645]
 [190.54853716 169.22970047]
 [137.22168729 157.0506843 ]
 [198.95166547 213.44725296]
 [133.51839587 209.24422632]]"
28,"[[147.93161638  51.16351777]
 [152.58831113  48.42713156]
 [148.0528708   47.49363504]
 [163.94043372  46.78836002]
 [147.5020157   50.94601778]
 [190.11819515  62.59977499]
 [135.5180991   63.26564664]
 [230.26014718  69.90534314]
 [ 99.96180705  73.34187214]
 [256.61265306  83.96541076]
 [ 45.36443085  81.97659907]
 [186.50902432 120.84637408]
 [146.48818309 124.06463728]
 [191.42901385 171.22466637]
 [136.70795468 153.69627565]
 [200.62156535 213.16904637]
 [134.22099417 210.1273292 ]]"
29,"[[147.68942235  50.85828569]
 [152.33352958  48.27286456]
 [147.93756722  47.27102693]
 [163.77220217  46.6424072 ]
 [147.39120452  50.82127514]
 [189.95630328  62.53132971]
 [134.26280576  63.23062818]
 [229.88796956  70.1286872 ]
 [ 99.43845124  73.24228842]
 [257.01651427  84.26706669]
 [ 44.81472878  82.25037437]
 [186.49288585 120.86278109]
 [146.69719269 124.0929643 ]
 [191.13264733 171.82492074]
 [136.9760133  154.19117447]
 [200.38074098 213.47819753]
 [134.45913356 210.3563531 ]]"
30,"[[150.6315149   47.78384104]
 [152.5969848   47.04826057]
 [150.8425783   45.82417924]
 [161.56899836  45.06387122]
 [151.4119654   49.29952432]
 [183.56577032  59.41303937]
 [137.40562273  62.47576089]
 [225.60404442  67.0253873 ]
 [ 95.56040612  71.97125931]
 [258.66271233  76.6295631 ]
 [ 39.10931935  83.88241275]
 [186.44482969 119.10579469]
 [149.16489914 122.45884086]
 [190.76931593 173.58913277]
 [139.37623083 160.34974552]
 [201.12739421 211.25915337]
 [136.99498777 211.44417322]]"
31,"[[150.60761733  47.53549452]
 [152.64445503  46.92957967]
 [150.81117456  45.67980867]
 [161.64938729  45.12163797]
 [151.24696423  49.40692449]
 [183.70737375  59.3609114 ]
 [137.41304346  62.45174579]
 [225.49894085  66.9076349 ]
 [ 95.86650651  72.45201054]
 [258.60940629  76.33592763]
 [ 39.17440062  84.00286951]
 [186.00791456 119.01412707]
 [149.1619338  122.45891032]
 [190.70948858 173.57061537]
 [139.56717463 160.12702889]
 [201.29788743 211.37275229]
 [137.14599543 211.56960895]]"
32,"[[150.63862148  47.34532423]
 [153.42671984  45.36873143]
 [150.15481062  44.7103579 ]
 [162.60949442  44.58134095]
 [149.66891166  47.74121187]
 [185.8062258   58.22920806]
 [138.15394026  61.84374868]
 [225.84411031  63.32679637]
 [ 98.40058517  70.51302824]
 [257.43061691  73.57105729]
 [ 43.82164683  77.10768956]
 [186.80625864 119.48558109]
 [149.91460852 122.01325278]
 [191.45383708 177.21579236]
 [138.75680441 162.39088414]
 [200.96114986 211.41283871]
 [137.79854473 213.65464382]]"
33,"[[150.40959251  47.26155716]
 [153.34648799  45.27120094]
 [150.0144968   44.57980791]
 [162.67439708  44.56969804]
 [149.66751779  47.70554156]
 [185.710654    58.1537494 ]
 [138.15846764  61.81730849]
 [226.28041325  63.30435917]
 [ 98.70618674  70.60156013]
 [257.01008848  73.79243838]
 [ 43.89527092  77.01843709]
 [186.60993378 119.55565762]
 [149.60852932 122.14242527]
 [191.60486324 176.59369613]
 [138.85920259 161.96316883]
 [200.99063367 211.31005577]
 [137.97287479 214.01269768]]"
34,"[[150.40872875  47.6603956 ]
 [153.84465595  44.91309064]
 [149.86972152  44.42373907]
 [163.97205475  44.24561938]
 [147.89273472  47.07013408]
 [188.10009865  59.65268681]
 [137.53150948  62.35006688]
 [226.80285929  62.36136614]
 [ 96.02919555  69.14787621]
 [262.88002948  67.56674023]
 [ 37.76841678  70.02936122]
 [188.43906359 119.77251788]
 [149.70429654 122.32522333]
 [199.84432505 177.21695861]
 [139.08108058 164.45881021]
 [200.5823433  210.95755965]
 [139.04479326 213.60269237]]"
35,"[[150.45260061  47.49923095]
 [153.53757239  44.94152148]
 [150.0289454   44.33919029]
 [163.4096296   44.36052345]
 [148.28444801  47.1677485 ]
 [188.12215299  59.20608442]
 [137.54716762  62.34467697]
 [226.78550599  62.52457099]
 [ 95.53578436  69.22809463]
 [263.21641321  67.47693647]
 [ 36.89360975  69.99435505]
 [188.43780157 119.62741678]
 [149.8382606  122.32336399]
 [192.36801417 176.78379407]
 [139.5326616  164.65646777]
 [191.41419795 211.40849061]
 [139.02460336 213.35695869]]"
36,"[[149.60634366  47.2938416 ]
 [153.80447326  44.10957133]
 [148.64684702  43.58968649]
 [164.81675706  43.45556072]
 [146.16427354  46.09781129]
 [188.83786934  58.93359112]
 [135.9096846   61.75346309]
 [234.56312769  60.04967315]
 [ 93.61243828  67.4042263 ]
 [273.62870014  66.71124669]
 [ 44.93744498  70.60126984]
 [189.36869566 120.42262614]
 [150.11401711 124.38994296]
 [200.98405988 178.50843897]
 [139.91203055 165.9226702 ]
 [200.59463517 211.74684998]
 [139.63451657 213.66060454]]"
37,"[[149.37961673  47.37206105]
 [153.72253776  44.19949518]
 [148.61272282  43.76495496]
 [164.89658158  43.6551051 ]
 [145.74530716  46.05474993]
 [188.55744754  58.88839406]
 [135.91637073  61.70255056]
 [234.18388117  60.28815579]
 [ 93.43208808  67.52223626]
 [272.85242384  66.26926297]
 [ 44.82292175  70.84097805]
 [189.39019971 120.40549963]
 [150.10250962 124.1344369 ]
 [201.16262301 178.5228868 ]
 [139.96033158 166.29428166]
 [200.74061999 211.61271516]
 [139.63080721 213.48137648]]"
38,"[[148.57851115  47.21258066]
 [153.35003119  43.4283663 ]
 [147.77881626  43.52058069]
 [164.96160768  42.65946717]
 [145.02282665  45.64958831]
 [187.64818666  58.89795843]
 [135.65517649  61.18546269]
 [236.55495932  57.89563304]
 [ 92.45204467  64.35510182]
 [284.2722444   60.24970298]
 [ 34.92131716  68.93059435]
 [189.15569349 120.54368068]
 [147.57369093 124.77351314]
 [192.79357182 190.09707112]
 [140.07565669 166.76882655]
 [190.93668775 212.53459062]
 [139.98626782 214.07901412]]"
