,keypoints
101,"[[ 85.51586411 151.93258597]
 [ 93.10762449 145.20384151]
 [ 79.56639032 145.62440009]
 [108.9548617  149.12969251]
 [ 80.66128204 152.3533724 ]
 [127.36644501 187.1209825 ]
 [ 77.03135961 188.90349601]
 [139.40181773 250.1786383 ]
 [ 71.66978572 249.13825163]
 [116.21800283 293.77624471]
 [ 82.91837525 283.43377211]
 [132.16519981 271.77909987]
 [ 88.561773   271.06039916]
 [155.09052323 330.35472543]
 [ 54.43368402 313.71996209]
 [171.61384754 399.14373811]
 [ 69.48069384 388.36969543]]"
102,"[[ 86.08194016 143.90566446]
 [ 93.51406845 137.32447479]
 [ 82.09656973 137.06735404]
 [109.51521915 143.52603375]
 [ 80.13067112 144.44662935]
 [128.05714615 178.20335876]
 [ 78.78573089 183.19303902]
 [139.30900497 244.90606663]
 [ 81.31793612 241.3516922 ]
 [112.60580098 291.25213693]
 [ 91.39396182 280.03661414]
 [133.84906702 258.43957853]
 [ 91.17344309 266.57036405]
 [154.12340362 329.46121079]
 [ 56.5347713  310.92838141]
 [172.61480663 398.40333935]
 [ 70.52489197 380.56594446]]"
103,"[[ 86.21311717 144.03282248]
 [ 93.61532734 137.41372873]
 [ 82.18147481 137.19134107]
 [109.56119454 143.56262119]
 [ 80.12281442 144.50878106]
 [128.03421642 178.35362379]
 [ 78.68087751 183.2604573 ]
 [139.11178697 244.89896765]
 [ 81.41798218 241.53281004]
 [112.67110028 291.13284892]
 [ 91.45283847 280.16348496]
 [133.74249523 258.16622413]
 [ 91.02667661 266.58927955]
 [153.93693179 329.50995034]
 [ 56.34463167 310.54539235]
 [172.77973483 398.72163332]
 [ 70.06337309 380.51844502]]"
104,"[[ 85.77491819 139.24118867]
 [ 92.88252185 133.20601687]
 [ 82.18859382 133.2171924 ]
 [110.7218746  138.76056595]
 [ 79.9494151  140.5724585 ]
 [132.53560288 174.04850136]
 [ 74.98806545 177.57259192]
 [136.8261324  233.33311733]
 [ 72.05328097 235.99865726]
 [113.05204859 286.70466252]
 [ 91.57270489 279.28875233]
 [134.03056047 255.86526047]
 [ 92.73113197 260.14185524]
 [153.00371647 324.03040935]
 [ 58.20382634 317.75415684]
 [171.69579053 396.7285293 ]
 [ 68.12808807 378.50637609]]"
105,"[[ 85.6878227  139.26209853]
 [ 92.81480024 133.35472849]
 [ 82.18880773 133.32075136]
 [110.59320295 138.70295816]
 [ 79.98606907 140.55345447]
 [132.59947078 174.22862271]
 [ 79.56791768 178.70953086]
 [136.84828977 233.33731227]
 [ 81.91506981 233.1169188 ]
 [113.05200728 286.73566151]
 [ 93.54382065 277.83521506]
 [133.97248404 256.14272025]
 [ 92.14001059 260.89266913]
 [152.91782714 324.17222823]
 [ 58.049567   317.82705995]
 [171.73877518 396.70809436]
 [ 67.76465329 378.59284164]]"
106,"[[ 87.36706013 133.65923252]
 [ 94.54553075 126.82301143]
 [ 83.49362145 126.92560683]
 [112.28491191 131.64364944]
 [ 81.87349657 133.45062915]
 [131.06837558 173.47542809]
 [ 73.46503986 172.30173734]
 [138.07515683 226.46104656]
 [ 71.9907925  226.52523105]
 [117.48789186 281.28312359]
 [ 84.05639022 275.62513751]
 [132.42937674 255.95645455]
 [ 87.83303048 256.05324189]
 [151.79127803 327.31722544]
 [ 59.48663395 318.18679617]
 [169.35105872 397.22420427]
 [ 69.71454448 377.60472686]]"
107,"[[ 87.40669285 133.64218784]
 [ 94.51223871 126.87639098]
 [ 83.51470595 126.98337657]
 [112.07537326 131.56523406]
 [ 81.87723634 133.44829782]
 [131.34591324 173.31224504]
 [ 73.47754396 172.12938478]
 [138.12969264 226.43901531]
 [ 72.0009629  226.44468817]
 [117.36186869 281.20074695]
 [ 83.9801795  275.74391217]
 [132.56543854 256.05174441]
 [ 87.88360394 256.13526715]
 [151.54079502 327.03576254]
 [ 59.99052539 318.18954133]
 [169.57696669 397.61740668]
 [ 69.90953991 377.58400094]]"
108,"[[ 88.05929471 127.64747579]
 [ 95.42612763 121.23301188]
 [ 84.66831605 121.06090638]
 [112.16636577 126.40256951]
 [ 83.44660516 129.12913598]
 [130.38413073 167.40413201]
 [ 74.71912618 165.99071503]
 [139.92910104 223.05057183]
 [ 72.37782493 222.50410393]
 [114.04968374 276.8649872 ]
 [ 81.68164299 267.87398921]
 [131.11988765 254.19293753]
 [ 87.20488045 254.66853108]
 [152.94452261 326.1275946 ]
 [ 61.4020124  304.04857582]
 [172.22456621 397.28566145]
 [ 70.7278269  377.29914159]]"
109,"[[ 88.2293441  127.63747244]
 [ 95.55324101 121.27299439]
 [ 84.80248081 121.05659649]
 [112.15484493 126.55212973]
 [ 83.36378788 129.09377151]
 [130.57762562 167.55327497]
 [ 74.64100293 165.90969964]
 [140.21757212 223.49312941]
 [ 72.16769435 222.82290164]
 [114.16557383 277.16711633]
 [ 81.29419473 268.06139278]
 [131.07102313 254.32917001]
 [ 87.19684915 254.99143752]
 [152.61091046 327.04653178]
 [ 61.0351875  303.94737702]
 [172.38882536 397.12250585]
 [ 70.60189369 377.4449478 ]]"
110,"[[ 88.69143865 124.7515332 ]
 [ 95.79229414 117.7339309 ]
 [ 85.369019   117.95027389]
 [114.50378723 123.13812062]
 [ 79.42582391 121.63521909]
 [131.48255196 161.0057461 ]
 [ 80.53561005 162.44530628]
 [140.0610364  226.50384354]
 [ 80.87117672 216.40775624]
 [111.63191055 272.41923043]
 [ 91.04612096 255.96142895]
 [130.31845559 252.23732547]
 [ 88.867448   250.83746853]
 [144.7949314  319.29047515]
 [ 62.94487633 303.63418629]
 [164.47755891 398.74569873]
 [ 69.12553438 376.42477235]]"
111,"[[ 88.57283237 124.81604436]
 [ 95.68332915 117.81748401]
 [ 85.28819888 118.04408085]
 [114.43161498 123.1881854 ]
 [ 79.32521009 121.81762647]
 [131.15081036 161.10430064]
 [ 80.63690292 162.51196553]
 [139.93170528 226.61660768]
 [ 80.70935122 216.30262363]
 [111.99364025 272.77261299]
 [ 91.09573749 255.87050664]
 [130.35950072 252.49188653]
 [ 88.66305372 251.54867616]
 [145.05102938 319.51858663]
 [ 63.20840853 303.53948939]
 [164.88035939 398.86315778]
 [ 69.06421442 376.67530764]]"
112,"[[ 89.1121583  120.77093659]
 [ 95.34298581 114.01401061]
 [ 85.92109258 114.74774122]
 [115.28996585 119.70268179]
 [ 82.18740232 119.98264618]
 [132.67344477 155.14777785]
 [ 74.72913665 157.05844587]
 [139.59756101 221.34154204]
 [ 69.42779218 214.79603468]
 [110.3493655  268.42797404]
 [ 84.95045878 259.50951336]
 [129.99229398 242.55530172]
 [ 88.7986817  247.84901658]
 [145.99615787 320.68009781]
 [ 60.33179034 312.40184251]
 [167.22639999 397.04661635]
 [ 68.38221288 376.71296569]]"
113,"[[ 89.26262589 120.79248881]
 [ 95.43874767 113.98192317]
 [ 85.96348281 114.73239305]
 [115.34418645 119.71820187]
 [ 82.21302092 119.94202953]
 [132.86994499 155.05036805]
 [ 74.73135705 157.05982874]
 [139.73999997 221.12051306]
 [ 69.38987208 214.63694397]
 [110.4887524  268.28449846]
 [ 84.86990455 259.41481578]
 [130.03216793 242.23840091]
 [ 88.88061535 247.71442982]
 [146.13962307 320.5455083 ]
 [ 59.92053873 312.30173491]
 [167.85715159 397.11512241]
 [ 67.92216805 376.45556751]]"
114,"[[ 91.89850233 115.82139557]
 [ 97.06815733 108.8392208 ]
 [ 87.10599723 110.00182489]
 [117.56277647 114.30773467]
 [ 83.59181496 115.24597477]
 [133.32332694 152.36519099]
 [ 76.9690404  154.51069235]
 [138.76899266 212.45308077]
 [ 69.32744225 212.05334008]
 [110.55940545 266.383165  ]
 [ 86.49633112 255.32724953]
 [129.68976846 239.45254114]
 [ 88.96277291 243.14056348]
 [155.12265093 325.65406308]
 [ 65.7751966  311.28796802]
 [163.80785963 399.33808143]
 [ 67.12016592 376.50550876]]"
115,"[[ 90.30879244 114.95927382]
 [ 97.01910656 108.77892482]
 [ 87.06926063 109.99390649]
 [117.69291459 114.26519847]
 [ 83.49081196 115.18938956]
 [136.37266315 157.86657278]
 [ 76.90149405 154.47674094]
 [138.62125459 212.37173288]
 [ 69.33837233 212.09839118]
 [110.6790433  266.405269  ]
 [ 86.38228326 254.86508056]
 [130.42741092 252.39186677]
 [ 88.9801443  243.09822632]
 [147.05083044 321.08680777]
 [ 65.87751104 310.98483692]
 [169.27326199 398.69975031]
 [ 67.34526873 376.06326962]]"
116,"[[ 92.35882104 111.65077352]
 [100.21975692 104.97535611]
 [ 88.86906823 106.31774974]
 [117.61540308 110.99495644]
 [ 84.72775347 111.15380043]
 [136.05800254 154.83635432]
 [ 77.77495858 152.3989317 ]
 [138.81455889 210.18819567]
 [ 74.12720896 210.84362087]
 [109.68433759 264.88457337]
 [ 82.66543794 254.65764165]
 [130.52196229 237.64836012]
 [ 89.59186388 242.21227526]
 [155.73194486 323.77400895]
 [ 66.97689835 317.39698048]
 [163.66005625 398.88760339]
 [ 65.87715228 376.50416089]]"
117,"[[ 92.44284049 111.57554252]
 [100.28274518 104.88632796]
 [ 88.95138656 106.2451733 ]
 [117.64052122 110.93027782]
 [ 84.76160328 111.11699818]
 [136.05806418 154.76347592]
 [ 77.58030018 152.36497137]
 [138.8559029  210.17973441]
 [ 74.21868395 210.8038518 ]
 [109.80279994 265.02007839]
 [ 82.98335268 254.67898249]
 [130.55749606 237.68424754]
 [ 89.74730672 242.51132158]
 [155.87718531 323.98695148]
 [ 66.84689218 317.82161493]
 [163.87574451 399.16897227]
 [ 65.88376284 376.51301265]]"
118,"[[ 93.82297963 107.48846886]
 [101.44906962 101.62528237]
 [ 90.07665671 102.14340105]
 [117.63621369 105.35963334]
 [ 85.85912122 107.31012294]
 [136.17596027 150.89708569]
 [ 79.40495399 149.69516169]
 [140.81272664 207.12272528]
 [ 77.9765041  207.42982451]
 [109.59567076 262.34785366]
 [ 84.92975713 253.4664471 ]
 [129.6834591  237.04881394]
 [ 89.72633866 240.71493268]
 [154.01925478 323.65186598]
 [ 66.93843699 317.16822869]
 [168.69741538 395.65871147]
 [ 68.02976962 374.78768623]]"
119,"[[ 93.83539443 107.43133118]
 [101.38448336 101.66467536]
 [ 89.97624197 102.16885276]
 [117.59373016 105.31586526]
 [ 85.75792764 107.31091834]
 [135.99721819 150.85994647]
 [ 79.0323022  149.66967361]
 [140.81532955 207.05622525]
 [ 81.67114539 201.52633673]
 [109.47548114 262.21532028]
 [ 89.77268409 247.95611747]
 [129.71113117 237.02333752]
 [ 89.54170737 240.66975153]
 [148.24800728 319.72262996]
 [ 66.63459103 316.85297155]
 [168.48691295 395.54309477]
 [ 67.98028669 375.05884588]]"
120,"[[ 94.1200551  105.12085555]
 [101.92099713  99.592878  ]
 [ 90.79815057 100.21347953]
 [117.96046577 102.61377941]
 [ 86.82460802 105.08976666]
 [137.02043961 147.11262395]
 [ 81.17404643 145.40066439]
 [142.95190062 203.62367776]
 [ 77.12388683 203.91052768]
 [118.08156301 258.36185081]
 [ 84.4419526  250.26739056]
 [129.71871366 237.75295193]
 [ 88.10708643 239.88787346]
 [148.76654059 319.22025269]
 [ 66.97749795 315.45917351]
 [166.70030718 397.28672108]
 [ 69.14925061 374.75058682]]"
121,"[[ 94.22260279 105.08288318]
 [102.05097065  99.53891235]
 [ 90.82495983 100.1489368 ]
 [118.05228328 102.6325    ]
 [ 86.80947603 105.04753724]
 [137.05508276 147.16676255]
 [ 80.9631595  145.38374119]
 [142.78434219 203.74571641]
 [ 77.07590228 204.13181059]
 [118.11730802 258.19426453]
 [ 84.28512467 250.23965351]
 [129.34324271 237.37577986]
 [ 88.00498056 239.39651525]
 [148.55850246 318.83899994]
 [ 67.09214323 315.55097495]
 [166.80732632 397.59799157]
 [ 68.98391341 374.26187631]]"
122,"[[ 95.38022954 106.13413449]
 [102.6810652   98.31957721]
 [ 90.89833241  97.97932199]
 [118.33763167 101.23455265]
 [ 86.71403936 103.42651989]
 [137.24118875 145.24654173]
 [ 81.99523221 144.11428362]
 [142.85524913 202.16154043]
 [ 77.61544145 203.5641288 ]
 [117.66035157 258.33252705]
 [ 83.28459307 249.93874186]
 [130.17431168 235.78374724]
 [ 89.13501953 237.4849904 ]
 [148.16262574 317.35453076]
 [ 71.59061758 313.75264661]
 [167.39917357 395.183083  ]
 [ 71.08836244 373.64853023]]"
123,"[[ 95.50718565 106.21742938]
 [102.73494928  98.33699591]
 [ 90.95104481  97.90370804]
 [118.32376415 101.17276605]
 [ 86.69825598 103.39205171]
 [137.12512207 145.27129274]
 [ 81.9409483  144.14984986]
 [143.08570253 202.1151943 ]
 [ 77.52180137 203.73528242]
 [117.53995537 258.26970141]
 [ 83.0960681  250.01317402]
 [130.03474085 236.02002967]
 [ 88.84866087 237.91995487]
 [147.99045658 317.592485  ]
 [ 71.62077027 313.78390433]
 [167.13338365 395.55488521]
 [ 71.14966974 373.83456808]]"
124,"[[ 96.46007023 104.45990504]
 [103.58682819  97.06619321]
 [ 93.30469788  98.71673677]
 [119.14244231  99.85518726]
 [ 86.91073775 102.09047719]
 [138.4223423  144.02923113]
 [ 81.84395562 142.94676535]
 [145.10481883 201.95296245]
 [ 78.15624009 203.44035658]
 [116.38260051 257.65816027]
 [ 84.5445386  249.4070628 ]
 [129.18546118 235.92707595]
 [ 87.7008967  238.32375771]
 [147.63073003 316.45664926]
 [ 73.03017282 314.94980707]
 [166.4787134  396.36424916]
 [ 72.81757593 374.00285712]]"
125,"[[ 96.55063493 104.39314971]
 [103.69744049  96.86820055]
 [ 93.40256819  98.55293194]
 [119.31576499  99.8296079 ]
 [ 87.04162571 102.17344403]
 [138.36194795 143.89412245]
 [ 81.79446836 142.90675916]
 [145.00296886 202.02989853]
 [ 77.95652047 203.32380412]
 [116.33262679 257.55866758]
 [ 84.53160436 249.20851939]
 [128.95376497 235.74750157]
 [ 92.06382053 240.60715649]
 [147.27034909 316.13756606]
 [ 73.05313253 315.05845622]
 [166.38594162 396.2864408 ]
 [ 72.74468582 374.09496534]]"
126,"[[ 97.03369111 104.11315752]
 [103.91030993  95.65348687]
 [ 93.6266396   97.37326944]
 [119.38624145  99.13204181]
 [ 87.69225065 101.8026819 ]
 [138.85683017 142.40481288]
 [ 79.97593465 143.55946014]
 [141.34704534 201.94232771]
 [ 79.0672129  201.98794672]
 [115.92654234 256.45509292]
 [ 90.24379861 241.78712404]
 [130.27364304 234.79494617]
 [ 88.74565205 237.47358153]
 [149.11655121 315.01264781]
 [ 73.95764138 313.81814397]
 [165.62097161 396.83140711]
 [ 74.28366072 374.74190389]]"
127,"[[ 97.05278844 104.0519927 ]
 [103.86778109  95.56296021]
 [ 93.65518663  97.28486066]
 [119.38109827  99.10736423]
 [ 87.7092432  101.76448168]
 [138.66209514 142.26210114]
 [ 80.01886865 143.45599109]
 [141.39627537 201.90061644]
 [ 79.16878366 201.77660265]
 [116.13394607 256.31472211]
 [ 90.25823256 241.81378705]
 [130.09745656 234.50807874]
 [ 88.71304676 237.28945294]
 [149.08233089 314.99075793]
 [ 73.69584312 313.98942249]
 [165.61548458 397.10984587]
 [ 74.24283183 374.74509239]]"
128,"[[ 98.03874315 102.29210546]
 [105.25922583  93.6885756 ]
 [ 94.87093402  95.23895631]
 [122.31471857 102.46132991]
 [ 88.85961799 100.58957551]
 [139.42815002 142.11159385]
 [ 80.13768018 143.42267725]
 [143.94172038 202.68962128]
 [ 79.56067538 201.54544404]
 [115.50548551 254.91412981]
 [ 90.46484195 243.5708708 ]
 [130.28608983 234.24197293]
 [ 89.4672939  237.30531582]
 [149.52454552 314.31764569]
 [ 74.28808686 313.70862597]
 [165.08672689 398.0752287 ]
 [ 75.33503067 375.29219649]]"
129,"[[ 97.9181577  102.4572911 ]
 [105.26143557  93.87301714]
 [ 94.9267353   95.38781376]
 [122.14497039 102.54955511]
 [ 88.85300176 100.66661008]
 [139.33609228 142.01457386]
 [ 80.19681806 143.33659156]
 [141.14078779 201.65211394]
 [ 79.69296793 201.46608433]
 [115.49859639 255.00576586]
 [ 90.32646795 243.52432805]
 [130.30553734 233.91769864]
 [ 89.3499241  237.21497823]
 [149.69328546 314.15562246]
 [ 74.31751186 313.58127064]
 [164.98886525 398.4292797 ]
 [ 74.38367479 374.42173086]]"
130,"[[ 98.91002859 101.39680853]
 [107.26372026  93.06186018]
 [ 96.76530295  94.38049679]
 [123.53408811 101.87922439]
 [ 92.90675769 102.90233716]
 [140.14402228 142.36543087]
 [ 80.27625676 143.04351871]
 [143.82674191 202.50444713]
 [ 79.21542411 201.5798381 ]
 [114.90043646 255.43162191]
 [ 90.04148341 243.33595408]
 [129.88499196 234.1858592 ]
 [ 89.02145744 238.05357534]
 [149.23827619 315.1059337 ]
 [ 74.35914374 313.61078312]
 [165.07703162 398.82791135]
 [ 75.11259991 376.06079075]]"
131,"[[ 98.80329733 101.54028136]
 [107.15902548  93.1219911 ]
 [ 96.73036093  94.45087264]
 [123.47318164 101.88854488]
 [ 89.93888092  99.6693155 ]
 [140.14029384 142.29086763]
 [ 80.29564597 143.06541922]
 [143.89162671 202.37302622]
 [ 79.21637171 201.57603057]
 [114.68258111 255.24263988]
 [ 89.9029015  243.07764314]
 [129.9585198  233.98608047]
 [ 89.0998626  238.00985736]
 [149.11546233 315.23201459]
 [ 74.35804554 313.942096  ]
 [165.21865759 399.13945636]
 [ 74.77603566 376.1525119 ]]"
132,"[[ 99.26691233 100.51567385]
 [108.41146315  92.52263918]
 [ 97.38586615  93.61832723]
 [123.5230474  101.04385078]
 [ 93.29639036 102.26146883]
 [140.17000939 141.74049337]
 [ 80.30179273 142.40978573]
 [141.66796948 202.51993873]
 [ 78.98628416 201.85774259]
 [114.87312524 254.26835657]
 [ 89.85179759 242.72278369]
 [130.88335347 233.80485214]
 [ 93.65592499 236.94168422]
 [149.20285503 315.25324563]
 [ 74.78756016 312.43059665]
 [165.27003539 399.75840118]
 [ 74.84080184 376.85128586]]"
133,"[[ 99.10682743 100.52530935]
 [108.33514048  92.53053974]
 [ 97.34331199  93.67598545]
 [123.39229554 100.97786272]
 [ 93.26904249 102.29694792]
 [140.02694936 141.48968082]
 [ 80.43590451 142.26420942]
 [141.69711459 202.26244172]
 [ 78.87859863 201.79625522]
 [114.94936395 254.11937421]
 [ 89.69399707 242.5674957 ]
 [131.08610315 233.77958435]
 [ 93.67238942 236.86383023]
 [149.0964503  315.15696066]
 [ 74.62536282 312.53622613]
 [165.02277836 400.21828138]
 [ 74.74149547 377.27242024]]"
134,"[[ 99.6988526  100.46231076]
 [108.24127416  94.86704704]
 [ 97.9529731   93.52976875]
 [123.70307327 101.04414246]
 [ 93.6973323  101.93868996]
 [140.64461178 141.57981459]
 [ 80.19189746 142.25045962]
 [142.05831652 202.18160512]
 [ 78.88845316 201.62193095]
 [114.94783926 253.89814209]
 [ 89.93618622 241.7451657 ]
 [131.52395161 233.64396815]
 [ 94.11844711 236.77979345]
 [149.66469744 315.77329484]
 [ 79.35793304 314.32707255]
 [166.51022953 398.58876571]
 [ 77.64260873 377.60484696]]"
135,"[[ 99.75414943 100.48994625]
 [108.27253205  94.87977839]
 [ 97.9665694   93.51858533]
 [123.79559715 101.01136392]
 [ 93.6728499  101.91010465]
 [140.87914414 141.62139615]
 [ 80.17801528 142.30942145]
 [142.18441833 202.14445767]
 [ 78.97905652 201.5059385 ]
 [114.91036696 253.81267166]
 [ 90.09604187 241.90758354]
 [131.56542056 233.67184659]
 [ 93.96609364 237.23031679]
 [149.73938746 315.73452638]
 [ 75.65279214 311.89535368]
 [166.2796002  398.80888056]
 [ 75.13010724 378.81459808]]"
136,"[[ 99.57546832  97.85438548]
 [108.90907523  94.94897141]
 [ 98.16407994  93.63155751]
 [124.42272094 101.21566461]
 [ 93.82820144 101.90114858]
 [141.14464218 141.69254304]
 [ 80.10724228 141.70506782]
 [142.38875001 201.83982771]
 [ 78.90692942 200.99106528]
 [114.51145684 253.45336918]
 [ 89.64603317 242.13247495]
 [131.56930177 233.55545335]
 [ 93.69584026 237.1265444 ]
 [149.69723313 315.08599288]
 [ 79.09174928 315.99220319]
 [165.99596376 399.16256371]
 [ 77.16333962 378.4684998 ]]"
137,"[[ 99.65117259  97.82162341]
 [109.05742088  94.90988417]
 [ 98.27096447  93.55009732]
 [124.50778395 101.22995177]
 [ 93.91360031 101.88538452]
 [141.14673197 141.48489739]
 [ 80.13529185 141.77218894]
 [142.33726759 201.7112995 ]
 [ 78.81773347 201.10797324]
 [114.47679004 253.22917641]
 [ 89.64031024 241.83637557]
 [131.7001171  233.45382767]
 [ 93.88919321 237.00293963]
 [149.51749648 315.22320676]
 [ 78.92707764 315.47149377]
 [166.14412432 399.37263196]
 [ 76.98767659 378.38135963]]"
138,"[[100.32156624  98.13814916]
 [109.66940169  94.65294958]
 [ 98.87463943  93.58554595]
 [125.03668625 101.21676747]
 [ 94.45805209 101.81740897]
 [141.8520883  140.8235097 ]
 [ 80.55038985 141.08365921]
 [142.82822713 201.68940963]
 [ 78.7155563  200.75846685]
 [115.11657519 253.10020074]
 [ 90.01708297 241.39174471]
 [131.11572673 233.19190685]
 [ 93.50533411 236.04196416]
 [148.77540221 314.8837943 ]
 [ 79.44750549 315.93951541]
 [164.98857803 399.1058632 ]
 [ 76.83846847 379.06647026]]"
139,"[[100.20326117  98.02135513]
 [109.71206247  94.70109893]
 [ 98.93712257  93.54395023]
 [125.16647052 101.19470191]
 [ 94.54458249 101.81749956]
 [142.39947485 140.94747408]
 [ 80.58775019 141.04473976]
 [142.92792134 201.48691183]
 [ 78.8992513  200.99395731]
 [115.03159082 253.12441027]
 [ 90.0709404  241.75286174]
 [131.15972495 233.21531891]
 [ 93.48697714 235.93825422]
 [148.78517278 315.11390838]
 [ 79.52747597 316.12403107]
 [165.21980311 399.16113554]
 [ 77.22666841 378.91642415]]"
140,"[[100.54658925  98.58555057]
 [109.56456013  95.02634707]
 [ 98.87432423  93.805645  ]
 [125.21855668 101.29304918]
 [ 94.82065343 101.89706654]
 [142.03260397 140.94740614]
 [ 80.52820982 141.17729236]
 [143.04591588 201.64061448]
 [ 78.87233192 200.82446451]
 [121.26534711 242.82110145]
 [ 90.00505068 241.78226237]
 [130.94469575 233.00985359]
 [ 93.56213697 236.26203782]
 [148.97670316 314.54920646]
 [ 80.93898096 315.18309317]
 [164.50084781 399.35317155]
 [ 77.63418026 378.47911257]]"
141,"[[100.57742166  98.68868745]
 [109.5435671   95.13678435]
 [ 98.93278306  93.84056648]
 [125.16795256 101.41638904]
 [ 94.79681609 101.96712566]
 [141.90145294 140.97033574]
 [ 80.54624492 141.26082403]
 [143.03573614 201.58469566]
 [ 78.91631882 200.86644618]
 [121.39410913 242.51712484]
 [ 90.18588155 241.94024403]
 [130.94755855 232.82063274]
 [ 93.59493056 236.27946064]
 [149.08299727 314.36736458]
 [ 80.66363838 315.60637838]
 [164.60848469 399.48552994]
 [ 77.38997129 379.05586572]]"
142,"[[101.30639076  99.28390452]
 [110.073028    95.27389288]
 [ 99.37342968  93.85042742]
 [125.52314101 101.61196905]
 [ 95.03007898 101.97160232]
 [142.6541441  140.95632858]
 [ 83.13877553 140.95079229]
 [143.20440944 201.71962831]
 [ 78.16280401 201.66072687]
 [121.29528922 241.75706321]
 [ 85.40473336 248.08137345]
 [130.64086378 233.34028253]
 [ 93.26872863 237.02033157]
 [148.26416984 314.73068735]
 [ 80.80067361 315.44575656]
 [164.78290291 398.99456016]
 [ 78.77002681 378.78369037]]"
143,"[[101.15643762  99.10804571]
 [110.11417125  95.39720803]
 [ 99.29117549  93.83926836]
 [125.70353073 101.59035987]
 [ 95.10813959 101.90616261]
 [143.24066491 141.00627258]
 [ 82.98668195 140.95860981]
 [143.33076847 201.46627512]
 [ 78.30412343 201.68403187]
 [121.60125697 241.55064258]
 [ 89.95606055 242.57762945]
 [130.56995484 233.45633674]
 [ 93.14814384 237.15816517]
 [148.26892785 314.81270986]
 [ 80.7739668  315.72030921]
 [164.59146249 398.91762305]
 [ 78.67918089 379.0481889 ]]"
144,"[[101.19814814  99.35087809]
 [110.29263977  95.79094507]
 [ 99.40719219  94.0958224 ]
 [126.06237497 101.91300697]
 [ 95.18534189 102.08587836]
 [143.92677397 141.32695072]
 [ 83.46419112 141.17168744]
 [143.32520814 201.42597485]
 [ 78.31098589 201.95095025]
 [114.85585515 253.17252874]
 [ 89.26855407 243.39691713]
 [130.28610315 233.36531012]
 [ 93.6906571  237.46710708]
 [148.60071943 314.41536775]
 [ 81.46262347 315.28745165]
 [164.62993037 398.69428471]
 [ 78.39827863 378.60666075]]"
145,"[[101.12358206  99.41649144]
 [110.2745157   95.75188733]
 [ 99.33240888  94.10724568]
 [126.05170078 101.82657436]
 [ 95.28060463 101.96327558]
 [143.81477892 141.42928259]
 [ 83.06535031 141.15805019]
 [143.25323697 201.81605054]
 [ 78.17703937 201.92117354]
 [114.55949538 253.38535519]
 [ 85.15423136 248.37169291]
 [130.45003011 233.44346745]
 [ 93.57022824 237.38930867]
 [148.76254493 314.38679754]
 [ 81.42688911 315.24126989]
 [164.51258556 399.01399449]
 [ 78.58976903 379.06612574]]"
146,"[[101.73102876  99.67373451]
 [110.35632291  95.88082799]
 [ 99.41235803  94.39273401]
 [125.99017057 101.98517712]
 [ 95.62679018 102.17270902]
 [142.96568284 141.41214664]
 [ 83.87017361 141.42196125]
 [143.13788399 202.16597694]
 [ 78.7262225  202.0472764 ]
 [120.92578011 241.80867145]
 [ 88.62700299 243.86164458]
 [130.44673415 233.35217729]
 [ 94.18971457 237.41782192]
 [148.67966901 314.76961366]
 [ 78.91441695 312.00378528]
 [164.3568575  399.12410544]
 [ 78.25447758 378.29157175]]"
147,"[[101.542004    99.52922264]
 [110.32209526  95.80651559]
 [ 99.24515612  94.43257275]
 [126.06974788 101.82872382]
 [ 95.85159862 102.06800191]
 [143.45458124 141.45539519]
 [ 83.65195908 141.39387556]
 [143.17896944 202.09137321]
 [ 78.76004699 202.08473954]
 [115.29697557 254.28021016]
 [ 88.65707839 244.06375669]
 [130.49728796 233.25136555]
 [ 94.11868968 237.65293218]
 [148.74086735 314.87222622]
 [ 78.88432823 312.21715528]
 [164.57682463 399.10009219]
 [ 78.30884545 378.3139633 ]]"
148,"[[101.65321605  99.5758546 ]
 [110.7300914   95.96187907]
 [ 99.34307241  94.79343173]
 [125.11325282  99.70703669]
 [ 96.12592096 102.28817165]
 [143.62956989 141.62264314]
 [ 84.5680724  141.29383007]
 [143.29595906 202.00117699]
 [ 78.45051407 201.80661406]
 [115.68155037 254.11442195]
 [ 89.08788847 243.42689011]
 [130.50203331 233.49873842]
 [ 93.9335946  237.0838984 ]
 [148.7982633  314.74745613]
 [ 82.85065963 315.01750399]
 [164.13310396 398.75187808]
 [ 78.63281099 378.28082103]]"
149,"[[101.74170162  99.41677144]
 [110.81131103  95.77047066]
 [ 99.55044148  94.53431372]
 [126.42974365 101.97624987]
 [ 95.90773175 102.2484163 ]
 [144.10510722 141.47757674]
 [ 84.29200546 141.44200844]
 [143.40007276 201.77532203]
 [ 78.78208708 201.64093292]
 [115.51500285 253.75440847]
 [ 89.17810265 243.25676731]
 [130.51923077 233.61060353]
 [ 94.09012698 237.65437064]
 [148.69850511 315.13264544]
 [ 79.75449147 311.40396459]
 [164.08278439 398.92773277]
 [ 79.08935428 378.13760144]]"
