,keypoints
11,"[[110.88111701 117.28099003]
 [117.61084299 106.78777211]
 [106.50609617 106.27020762]
 [135.00729972 115.6227705 ]
 [102.64540681 113.91869606]
 [151.04230398 155.41440857]
 [ 89.64982523 152.0672566 ]
 [158.30835489 205.74971778]
 [ 57.92088627 193.52595258]
 [157.07621337 149.65383218]
 [ 57.25007413 143.5647276 ]
 [130.09233371 254.23586949]
 [ 86.68164228 255.938817  ]
 [138.28261021 329.0996485 ]
 [ 80.72495801 330.67297142]
 [145.50764265 398.51396882]
 [ 83.55575941 394.65831632]]"
12,"[[110.91142298 117.14683622]
 [117.77228732 106.72670193]
 [106.54474364 106.14363958]
 [135.0046485  115.66117042]
 [102.51830942 113.76454517]
 [151.33990457 155.64278282]
 [ 89.71296143 152.30073546]
 [158.19468221 205.78965945]
 [ 57.81716975 193.99152881]
 [157.25794786 149.52980193]
 [ 57.488141   143.58652338]
 [130.00301448 254.45810232]
 [ 86.62038445 255.94587262]
 [138.17080874 329.09839825]
 [ 84.33195538 331.89328786]
 [145.55639621 398.68278423]
 [ 83.77149164 394.81755248]]"
13,"[[110.79424143 117.15228206]
 [117.96146069 106.71956031]
 [106.5209836  106.02308654]
 [134.66468742 115.63145317]
 [102.58124837 113.50844923]
 [150.5570967  155.76434572]
 [ 89.78276984 152.07296492]
 [158.32125981 206.57906541]
 [ 58.16180128 193.39560339]
 [155.986089   150.35392752]
 [ 58.20201376 144.75804418]
 [131.01835021 254.09641386]
 [ 87.4217762  252.39373219]
 [137.84252068 328.35554507]
 [ 84.3470194  328.57101585]
 [145.70785206 398.41933393]
 [ 82.52090053 396.02635696]]"
14,"[[110.80466773 117.00979509]
 [117.91866063 106.619434  ]
 [106.49670644 105.94941854]
 [134.59114358 115.45850086]
 [102.41961479 113.49836711]
 [150.54338112 155.59387804]
 [ 89.80733523 152.3847895 ]
 [158.36968518 206.4650565 ]
 [ 58.1732978  194.07121872]
 [156.24166453 150.52501204]
 [ 57.90276187 144.22991681]
 [130.92452021 254.09584745]
 [ 87.3046413  252.40651824]
 [137.87904804 328.41093491]
 [ 84.38347245 328.57447787]
 [145.5211783  398.71451155]
 [ 82.53002937 396.11287006]]"
15,"[[110.24504089 112.77053678]
 [118.35359764 106.62481283]
 [106.84013048 105.88595147]
 [134.77740717 115.6786974 ]
 [102.27196602 113.8743129 ]
 [149.87740028 156.02800739]
 [ 90.12160149 153.95289626]
 [158.75098768 205.49251044]
 [ 58.39232932 195.52537045]
 [151.45922122 146.21733367]
 [ 57.43159537 143.54573348]
 [131.17390534 253.29499419]
 [ 87.66428788 252.3523783 ]
 [139.04859213 328.37616382]
 [ 84.54263007 328.77887565]
 [145.92270466 399.14049839]
 [ 82.19873491 396.74321946]]"
16,"[[110.18319348 112.78281547]
 [118.32197823 106.64097075]
 [106.77634389 105.91791572]
 [134.82102322 115.69518273]
 [102.27117835 113.83141899]
 [149.59158942 156.10178453]
 [ 90.22837874 153.89518586]
 [158.76697032 205.44312076]
 [ 58.24619857 195.21197096]
 [151.37965857 146.43133074]
 [ 57.5502443  143.70357157]
 [131.0993376  253.39584924]
 [ 87.7292713  252.38459052]
 [138.96993643 328.51415887]
 [ 84.59127401 328.95685105]
 [146.07309362 399.06865258]
 [ 82.24424116 396.65092205]]"
17,"[[112.75729456 117.12946259]
 [118.7808179  107.13339349]
 [107.70572131 105.98431155]
 [135.22178782 116.14349515]
 [102.23158961 114.04240442]
 [151.84530338 154.98216495]
 [ 91.35809519 152.96331918]
 [159.23604786 202.96955866]
 [ 56.9531959  194.67838947]
 [155.45402194 148.68797875]
 [ 56.47880942 141.68232891]
 [131.8310952  253.93632152]
 [ 86.52657278 253.29163803]
 [139.56233011 328.62697348]
 [ 82.50966857 330.16548629]
 [146.29428424 398.89220995]
 [ 82.69494091 396.26931975]]"
18,"[[112.76569838 117.17607962]
 [118.67802232 107.12713395]
 [107.62193677 105.96751607]
 [135.15458265 116.07503814]
 [102.10269564 114.20206469]
 [151.51786464 154.97684621]
 [ 91.42267012 152.95218851]
 [159.33858404 202.89249358]
 [ 57.19197315 194.44361892]
 [154.86744907 148.38325157]
 [ 56.38866587 141.64911511]
 [131.7254713  253.84029478]
 [ 86.60609678 253.17966647]
 [139.58255197 328.62521105]
 [ 82.60263227 330.045863  ]
 [146.17924113 398.89961751]
 [ 82.75066955 396.24210438]]"
19,"[[113.70073835 116.9083688 ]
 [119.06145893 107.38163012]
 [107.7187202  106.80812285]
 [133.55797158 114.26490042]
 [100.62623054 114.56150374]
 [150.75138326 150.95284386]
 [ 91.99675081 151.09028562]
 [160.89715139 194.79634116]
 [ 53.63192877 196.89740083]
 [154.13121801 145.07074049]
 [ 61.17135375 143.4318268 ]
 [132.15591804 250.70706796]
 [ 89.85834597 253.01050776]
 [139.3178316  328.88377329]
 [ 83.19414099 329.33856871]
 [146.78458205 397.9313444 ]
 [ 82.6261624  395.8432362 ]]"
20,"[[113.87101697 117.05805609]
 [119.15118798 107.37988254]
 [107.81879958 106.78689348]
 [133.59417007 114.2915107 ]
 [100.55849493 114.5736208 ]
 [150.54535096 150.80951971]
 [ 92.17317952 150.98847527]
 [160.58897724 194.66352739]
 [ 53.48597062 196.92468804]
 [153.99928632 145.2879067 ]
 [ 61.01043321 143.10576319]
 [132.04645775 250.58513896]
 [ 89.6103486  252.75342699]
 [139.20343855 329.00079489]
 [ 83.15196134 329.10438805]
 [146.62690681 397.80948309]
 [ 82.71973052 395.77676853]]"
21,"[[115.40558971 116.0877964 ]
 [119.4138039  106.92026399]
 [109.12716215 106.46097148]
 [133.19890709 112.55024563]
 [104.08306951 110.97299513]
 [148.78226334 146.03115568]
 [ 94.80143015 147.12760005]
 [169.65147945 192.82119194]
 [ 47.8909186  184.32510906]
 [151.81964747 147.52891554]
 [ 57.9235878  132.13099694]
 [131.25271364 248.75426816]
 [ 88.34520795 251.08619118]
 [139.69391062 328.55272975]
 [ 84.73648281 328.23675309]
 [145.58850342 406.4103328 ]
 [ 82.91078243 395.13294269]]"
22,"[[112.49659876 113.2368041 ]
 [119.3961493  106.96566669]
 [109.17405699 106.53923155]
 [133.51995668 112.75301464]
 [104.42985082 111.20480101]
 [144.51193136 139.97351317]
 [ 94.94359523 147.69028748]
 [162.43163917 191.59734993]
 [ 48.16669899 184.39665958]
 [153.57594194 144.4942637 ]
 [ 57.98462888 132.19613975]
 [131.27822528 248.39639918]
 [ 88.46472535 250.87931362]
 [139.37506028 328.46488282]
 [ 84.71021149 328.16540738]
 [146.27989427 397.6136319 ]
 [ 82.79242138 395.11784161]]"
23,"[[117.98862596 115.98019208]
 [121.30378699 107.389066  ]
 [112.51575906 106.30626453]
 [133.35715676 112.42986632]
 [103.66096578 110.07339524]
 [148.46258134 144.58190721]
 [ 97.76978522 144.88771644]
 [168.73609516 179.82498859]
 [ 45.98750046 171.98263779]
 [151.51364507 130.5713152 ]
 [ 56.22492518 120.30892506]
 [132.60826709 249.56891293]
 [ 87.16505448 252.37898305]
 [137.55220804 332.07999428]
 [ 84.4510288  329.56764613]
 [145.78553683 397.59967884]
 [ 83.29861053 394.90099038]]"
24,"[[117.84089322 116.25897416]
 [121.27735541 107.59004597]
 [112.30002487 106.48031649]
 [133.07246234 112.81614912]
 [103.82029433 110.05158427]
 [148.20608352 144.36141851]
 [ 98.15530762 144.87716185]
 [168.21977293 179.80536175]
 [ 45.70962761 171.98377752]
 [151.86743277 130.65293851]
 [ 56.0631943  120.1782305 ]
 [132.72460699 249.56661205]
 [ 87.11624027 252.21491651]
 [137.85952989 331.89809891]
 [ 85.90726171 329.30378346]
 [146.04651943 397.4716851 ]
 [ 83.43111832 394.66452612]]"
25,"[[114.42233987 115.47286815]
 [119.33908855 111.03199826]
 [110.76955586 109.35837496]
 [135.98072044 116.39187406]
 [100.07230273 112.74732739]
 [146.64954265 148.60562463]
 [ 97.58422167 146.13046691]
 [167.70640012 174.54168792]
 [ 46.55707504 164.85941548]
 [148.12802025 126.98325333]
 [ 55.49171252 117.33400889]
 [134.19331013 251.62741439]
 [ 91.23079155 257.0166533 ]
 [137.86289114 332.10744934]
 [ 84.58569368 331.00365059]
 [145.80917825 397.94395879]
 [ 83.51360974 394.7752609 ]]"
26,"[[114.43404096 115.47372744]
 [119.37937633 111.08676229]
 [110.66175422 109.39393315]
 [135.92668775 116.45209462]
 [ 99.65361423 112.84400895]
 [146.81857313 148.89363369]
 [ 97.46360423 146.49525785]
 [169.22430252 163.42621959]
 [ 46.63339239 164.78689965]
 [148.17195116 126.94326055]
 [ 55.68696668 116.73632622]
 [134.04490354 251.85524917]
 [ 91.19404828 257.20647567]
 [138.01148352 331.58023582]
 [ 84.39293115 330.91214755]
 [145.86024418 397.94522147]
 [ 83.61217842 394.66726285]]"
